plate,well,runtime,measure,run,measures_pp
S1L1,A01,0,0.084,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A01,938,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A01,1878,0.086,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A01,2809,0.088,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A01,3750,0.089,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A01,4691,0.09,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A01,5631,0.092,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A01,6572,0.094,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A01,7513,0.096,SR1_results_DRUGPLATES_2019-07-02,0.011999999999999997
S1L1,A01,8454,0.099,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A01,9395,0.103,SR1_results_DRUGPLATES_2019-07-02,0.01899999999999999
S1L1,A01,10335,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A01,11276,0.112,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A01,12217,0.118,SR1_results_DRUGPLATES_2019-07-02,0.03399999999999999
S1L1,A01,13158,0.126,SR1_results_DRUGPLATES_2019-07-02,0.041999999999999996
S1L1,A01,16951,0.25,SR1_results_DRUGPLATES_2019-07-02,0.16599999999999998
S1L1,A01,17902,0.196,SR1_results_DRUGPLATES_2019-07-02,0.112
S1L1,A01,18853,0.164,SR1_results_DRUGPLATES_2019-07-02,0.08
S1L1,A01,19803,0.155,SR1_results_DRUGPLATES_2019-07-02,0.071
S1L1,A01,20764,0.165,SR1_results_DRUGPLATES_2019-07-02,0.081
S1L1,A01,21715,0.171,SR1_results_DRUGPLATES_2019-07-02,0.08700000000000001
S1L1,A01,38949,0.647,SR1_results_DRUGPLATES_2019-07-02,0.5630000000000001
S1L1,A01,39920,0.676,SR1_results_DRUGPLATES_2019-07-02,0.5920000000000001
S1L1,A01,40891,0.71,SR1_results_DRUGPLATES_2019-07-02,0.626
S1L1,A01,41862,0.732,SR1_results_DRUGPLATES_2019-07-02,0.648
