plate,well,runtime,measure,sample,sample.2,run,measures_pp
S1L1,A01,0,0.084,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A01,938,0.085,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A01,1878,0.086,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A01,2809,0.088,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A01,3750,0.089,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A01,4691,0.09,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A01,5631,0.092,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A01,6572,0.094,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A01,7513,0.096,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.011999999999999997
S1L1,A01,8454,0.099,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A01,9395,0.103,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.01899999999999999
S1L1,A01,10335,0.107,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A01,11276,0.112,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A01,12217,0.118,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.03399999999999999
S1L1,A01,13158,0.126,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.041999999999999996
S1L1,A01,16951,0.25,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.16599999999999998
S1L1,A01,17902,0.196,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.112
S1L1,A01,18853,0.164,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.08
S1L1,A01,19803,0.155,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.071
S1L1,A01,20764,0.165,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.081
S1L1,A01,21715,0.171,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.08700000000000001
S1L1,A01,38949,0.647,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.5630000000000001
S1L1,A01,39920,0.676,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.5920000000000001
S1L1,A01,40891,0.71,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.626
S1L1,A01,41862,0.732,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.648
S1L1,A01,42833,0.759,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.675
S1L1,A01,43803,0.779,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A01,44774,0.795,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.7110000000000001
S1L1,A01,45745,0.797,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.7130000000000001
S1L1,A01,46726,0.791,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.7070000000000001
S1L1,A01,47707,0.785,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.7010000000000001
S1L1,A01,48678,0.783,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6990000000000001
S1L1,A01,49658,0.78,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A01,50639,0.779,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A01,51620,0.777,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6930000000000001
S1L1,A01,52601,0.78,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A02,0,0.084,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A02,938,0.085,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A02,1878,0.086,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A02,2809,0.088,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A02,3750,0.089,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A02,4691,0.09,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A02,5631,0.091,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A02,6572,0.091,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A02,7513,0.092,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A02,8454,0.093,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
