run,plate,well,A,mu,lambda
SR1_results_DRUGPLATES_2019-07-02,S1L1,A01,0.7130000000000001,3.4486392057102964e-5,22753.80879566179
SR1_results_DRUGPLATES_2019-07-02,S1L1,A02,0.023999999999999994,1.3343559055125647e-6,188.57475605365423
SR1_results_DRUGPLATES_2019-07-02,S1L1,A03,0.227,1.6778594081840505e-5,39071.8569208619
SR1_results_DRUGPLATES_2019-07-02,S1L1,A04,0.7160000000000001,2.7908795929940077e-5,11402.281117572913
SR1_results_DRUGPLATES_2019-07-02,S1L1,A05,0.8310000000000001,7.506858093733591e-5,15743.973326560807
SR1_results_DRUGPLATES_2019-07-02,S1L1,A06,0.49799999999999994,4.114192155230721e-5,16777.798242469235
SR1_results_DRUGPLATES_2019-07-02,S1L1,A07,0.732,5.6244662484602846e-5,14017.38829870889
SR1_results_DRUGPLATES_2019-07-02,S1L1,A08,0.027999999999999997,1.2421748751769077e-6,-0
SR1_results_DRUGPLATES_2019-07-02,S1L1,A09,0.29500000000000004,2.5633589487960287e-5,41086.94530912984
SR1_results_DRUGPLATES_2019-07-02,S1L1,A10,0.7290000000000001,7.623640759983688e-5,14976.888402788836
SR1_results_DRUGPLATES_2019-07-02,S1L1,A11,0.749,7.23621607049417e-5,14806.459487972383
SR1_results_DRUGPLATES_2019-07-02,S1L1,A12,0.525,4.6245000200247766e-5,16720.319619628892
SR1_results_DRUGPLATES_2019-07-02,S1L1,B01,0.763,3.399628496276077e-5,24683.041003821072
SR1_results_DRUGPLATES_2019-07-02,S1L1,B02,0.05599999999999998,1.4166187113442028e-6,455.5625093383777
SR1_results_DRUGPLATES_2019-07-02,S1L1,B03,0.7020000000000001,3.841987661619653e-5,24138.957643952224
SR1_results_DRUGPLATES_2019-07-02,S1L1,B04,0.7230000000000001,3.702174686333658e-5,23660.68845464389
SR1_results_DRUGPLATES_2019-07-02,S1L1,B05,0.47800000000000004,2.6432090798321045e-5,33613.324053065895
SR1_results_DRUGPLATES_2019-07-02,S1L1,B06,0.027999999999999997,1.619626419066866e-6,25.721002397322405
SR1_results_DRUGPLATES_2019-07-02,S1L1,B07,0.627,2.9051798264781625e-5,28954.02106588362
SR1_results_DRUGPLATES_2019-07-02,S1L1,B08,0.024999999999999994,1.2762763336955843e-6,146.29436440241724
SR1_results_DRUGPLATES_2019-07-02,S1L1,B09,0.7260000000000001,5.86496421401628e-5,13813.725955594564
SR1_results_DRUGPLATES_2019-07-02,S1L1,B10,0.7240000000000001,6.826731287460872e-5,14327.815083008003
SR1_results_DRUGPLATES_2019-07-02,S1L1,B11,0.51,2.6518600171465642e-5,33216.70984211521
SR1_results_DRUGPLATES_2019-07-02,S1L1,B12,0.025999999999999995,1.0834956864513283e-6,40.18417773713436
SR1_results_DRUGPLATES_2019-07-02,S1L1,C01,0.7310000000000001,2.672180257807898e-5,23075.842197464186
SR1_results_DRUGPLATES_2019-07-02,S1L1,C02,0.6910000000000001,3.835551452362646e-5,12258.063345764205
SR1_results_DRUGPLATES_2019-07-02,S1L1,C03,0.7050000000000001,3.187062132681911e-5,21221.074516333545
SR1_results_DRUGPLATES_2019-07-02,S1L1,C04,0.015,1.1775307166840746e-6,179.5305064550673
SR1_results_DRUGPLATES_2019-07-02,S1L1,C05,0.7030000000000001,5.4267712314288656e-5,13560.401941722299
SR1_results_DRUGPLATES_2019-07-02,S1L1,C06,0.021999999999999992,1.9311540231052998e-6,324.52473903868315
SR1_results_DRUGPLATES_2019-07-02,S1L1,C07,0.7160000000000001,3.805887445431823e-5,16755.090631601997
SR1_results_DRUGPLATES_2019-07-02,S1L1,C08,0.684,6.914046439343363e-5,14835.778188216307
SR1_results_DRUGPLATES_2019-07-02,S1L1,C09,0.7030000000000001,6.54044467697354e-5,14045.99874421507
SR1_results_DRUGPLATES_2019-07-02,S1L1,C10,0.011999999999999997,1.3417066454809359e-6,387.3611880538163
SR1_results_DRUGPLATES_2019-07-02,S1L1,C11,0.6980000000000001,5.086340329175206e-5,13589.054299686843
SR1_results_DRUGPLATES_2019-07-02,S1L1,C12,0.020000000000000004,1.6955923937841706e-6,348.2356181439149
SR1_results_DRUGPLATES_2019-07-02,S1L1,D01,0.009000000000000008,6.736473851705976e-7,-0
