run,plate,well,A,mu,lambda
SR1_results_MITACS DRUG RUN 2,S1L1,A01,0.662,3.609498682696746e-5,25536.885970097046
SR1_results_MITACS DRUG RUN 2,S1L1,A02,0.026999999999999996,2.5919466023704706e-6,-0
SR1_results_MITACS DRUG RUN 2,S1L1,A03,0.9780000000000001,3.944171492381567e-5,25666.9877223907
SR1_results_MITACS DRUG RUN 2,S1L1,A04,0.632,1.4246498024258759e-5,26274.725013086474
SR1_results_MITACS DRUG RUN 2,S1L1,A05,1.009,4.119511399873031e-5,24671.880307599215
SR1_results_MITACS DRUG RUN 2,S1L1,A06,0.7280000000000001,2.1397105433138703e-5,40512.706291365976
SR1_results_MITACS DRUG RUN 2,S1L1,A07,0.94,3.7429940335202035e-5,25146.31928463991
SR1_results_MITACS DRUG RUN 2,S1L1,A08,0.062,9.094253685392547e-6,17064.335005421548
SR1_results_MITACS DRUG RUN 2,S1L1,A09,1.045,3.6052045265782604e-5,22472.407769199774
SR1_results_MITACS DRUG RUN 2,S1L1,A10,0.5840000000000001,1.0866483255014202e-5,36072.580380785
SR1_results_MITACS DRUG RUN 2,S1L1,A11,0.583,2.8094216976856145e-5,-1993.2927849931705
SR1_results_MITACS DRUG RUN 2,S1L1,A12,0.83,8.10988454230417e-5,19015.17019839964
SR1_results_MITACS DRUG RUN 2,S1L1,B01,0.655,3.287383131146327e-5,28800.137018787045
SR1_results_MITACS DRUG RUN 2,S1L1,B02,0.04300000000000001,2.5339864264146013e-6,13083.203211355116
SR1_results_MITACS DRUG RUN 2,S1L1,B03,1.006,3.733423253864006e-5,25995.985609305215
SR1_results_MITACS DRUG RUN 2,S1L1,B04,0.952,3.615757224997453e-5,24767.37001364117
SR1_results_MITACS DRUG RUN 2,S1L1,B05,0.9580000000000001,2.9774864507006207e-5,29239.213539300672
SR1_results_MITACS DRUG RUN 2,S1L1,B06,0.039999999999999994,1.0567078242205608e-6,3749.633925795171
SR1_results_MITACS DRUG RUN 2,S1L1,B07,1.063,4.394187446357455e-5,29359.928131921086
SR1_results_MITACS DRUG RUN 2,S1L1,B08,0.043,6.866834026168591e-6,17197.939553142078
SR1_results_MITACS DRUG RUN 2,S1L1,B09,1.06,4.03249516144402e-5,25816.51572146919
SR1_results_MITACS DRUG RUN 2,S1L1,B10,1.0110000000000001,3.494833291335778e-5,24763.80470899255
SR1_results_MITACS DRUG RUN 2,S1L1,B11,0.679,2.3581733614936974e-5,31901.117896651427
SR1_results_MITACS DRUG RUN 2,S1L1,B12,0.15000000000000002,6.8179723115286034e-6,166123.13953837997
SR1_results_MITACS DRUG RUN 2,S1L1,C01,0.773,3.570168648112692e-5,28198.97831712646
SR1_results_MITACS DRUG RUN 2,S1L1,C02,0.88,3.5520161533977396e-5,25353.362896120343
