"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",7072.5365,0.417,1.6536061700816e-05,25866.314389401,11.6525940641663,0.434016058528682,0.389311639594687,0.0693238788041558,0.275601028346933,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"2","3-Amino-1,2,4- triazole",13713.8,0.6325,3.30990467459761e-05,24686.6014513349,5.81718825743875,0.839839925431114,0.773457998367376,0.134420488200299,0.551650779099602,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"3","4-Aminopyridine",2997.7915,0.1595,6.70953855069161e-06,26491.5064909377,28.6983111943859,0.184140299161499,0.156632707649014,0.0293838758734053,0.111825642511527,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"4","5-Fluorocytosine",16409.4845,0.79,7.37153708211388e-05,15275.2164072666,2.61283077290524,1.00405762622638,1.73165998798251,0.160843159270606,1.22858951368565,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"5","5-Fluorouracil",578.5915,0.017,1.79619080596652e-06,0,107.279456455775,0.0437679160066753,0.0574579429901417,0.0056712619331289,0.0299365134327753,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"6","6-Azauracil",7788.30375,0.494,2.64753454848933e-05,33415.0169475906,7.27247912713897,0.670362746463114,0.845151737836583,0.0763397156387884,0.441255758081556,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"7","Azaserine*",10054.19975,0.5115,4.36934608762775e-05,16749.0589310491,4.42170789055619,0.614426268771857,1.00760068795462,0.0985496681341656,0.728224347937958,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"8","Benzamidine",14387.964,0.665,3.24195550867626e-05,22242.8085982259,5.97094217413332,0.880618445039647,0.744943117669176,0.141028536590028,0.54032591811271,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"9","Blasticidin hydrochloride",16055.04475,0.7005,5.25655578030204e-05,13574.7281207046,3.66671628947364,0.981874482959889,1.23896096947426,0.157368997168738,0.876092630050339,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"10","Caffeine",15958.28775,0.6875,5.374798945853e-05,13546.9207669903,3.90233975547702,0.975632993102639,1.17073659332591,0.156420600431379,0.895799824308834,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"11","CCCP",371.80975,0.013,8.01797261097909e-07,0,270.938927264438,0.0315642069661513,0.0262685848022537,0.0036444200814239,0.0133632876849651,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"12","Cetylpyridinium chloride",877.34325,0.026,1.28826539034474e-06,94.2873780268271,149.649019943174,0.0535812163474124,0.0303887244049975,0.00859957910894403,0.0214710898390789,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"13","Chlorpromazine hydrochloride ",15946.88,0.704,4.86375340482773e-05,17633.5366302743,4.49258912372242,0.97498296518967,1.04350335191576,0.156308783478801,0.810625567471288,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"14","Cinnamic acid",1787.32675,0.164,1.39614133372453e-05,40793.0384763517,13.8251516624336,0.142715323951209,0.447360888453507,0.0175190927611933,0.232690222287421,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"15","Compound 48/80*",1273.87175,0.0405,1.34644752251989e-06,300.928436870397,143.388625564564,0.0785252708113282,0.0318845622583877,0.0124862884495595,0.0224407920419982,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"16","Copper(II) sulfate",639.03875,0.0165,2.24071939737142e-06,0,91.9769673129123,0.0393333758275239,0.0491834931972824,0.00626375627134045,0.0373453232895236,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"17","Cycloheximide",534.4245,0.014,1.48529810316156e-06,5663.93481906913,129.706556930028,0.042993665080364,0.0473182830372133,0.00523834401815693,0.024754968386026,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"18","Dequalinium Chloride",3551.26425,0.173,5.63275072870753e-06,21453.3954579084,36.0357549923949,0.216391653372825,0.124575203173471,0.0348089278109107,0.0938791788117922,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"19","Diamide",829.79,0.021,1.81337320844474e-06,336.380178591299,106.62812743702,0.0508117746305542,0.0430721458008381,0.00813346970961556,0.0302228868074123,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"20","DMSO control",13089.01225,0.695,3.15240416137712e-05,26818.5310348523,6.1455445562235,1,1,0.128296417966187,0.525400693562853,NA,NA,NA,NA,"DMSO","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"21","DTT",942.448,0.027,1.3515610527591e-06,32.9525900672284,148.291613217128,0.0577716778147218,0.0331140955143584,0.00923772552198479,0.022526017545985,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
