"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",11483.31775,0.438,2.83455789834358e-05,32866.8436531801,6.79576029098497,1.10930900154339,1.13743774388756,0.16148047965533,0.885799343232369,1.6536061700816e-05,7072.5365,1.71445913430458,1.64258698790081,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"2","3-Amino-1,2,4- triazole",10115.06125,0.611,3.44942448049624e-05,33106.8683972883,6.43756207444496,0.983937286523854,1.46782322595812,0.142239810649936,1.07794515015507,3.30990467459761e-05,13713.8,1.04353561481456,0.73709089809969,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"3","4-Aminopyridine",17399.2525,0.63,2.46663162757871e-05,10602.0131904615,7.91190007864218,1.66833355001393,1.00624061507676,0.244671418183495,0.770822383618346,6.70953855069161e-06,2997.7915,3.67982217539695,5.96355279087229,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"4","5-Fluorocytosine",12195.4045,0.5225,3.30030204467723e-05,30988.7385756497,5.9199623619979,1.17362746755401,1.29121536443365,0.171493971613803,1.03134438896163,7.37153708211388e-05,16409.4845,0.448850210042829,0.743616803843169,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"5","5-Fluorouracil",7116.8835,0.2235,1.03314535240127e-05,7031.20056613704,26.9325471353926,1.38149725332597,1.09162179214549,0.100078895860136,0.322857922625397,1.79619080596652e-06,578.5915,5.66628423502895,15.0741043831916,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"6","6-Azauracil",7594.83375,0.213,3.63801601870887e-05,17288.4328261379,15.791926366865,1.45123686734015,4.11532032390211,0.106799918242486,1.13688000584652,2.64753454848933e-05,7788.30375,1.37228777159246,0.902419394691481,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"7","Azaserine*",11023.88325,0.4625,2.58914198575774e-05,29938.7021811206,7.44416813893689,1.06300740476758,1.02914422921839,0.155019829079829,0.809106870549295,4.36934608762775e-05,10054.19975,0.593481067969391,1.09700106014717,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"8","Benzamidine",9093.876,0.449,3.78932799327275e-05,33089.7781925188,7.7062022787917,0.914357875022244,1.67113150983235,0.12787971998825,1.18416499789773,3.24195550867626e-05,14387.964,1.2252560141584,0.627468392727914,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"9","Blasticidin hydrochloride",10619.43025,0.4675,2.0039142586295e-05,28039.4551607237,9.90739904372679,1.04798905686205,0.825691209100878,0.149332338246612,0.626223205821719,5.25655578030204e-05,16055.04475,0.379474720782261,0.661402157888108,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"10","Caffeine",12255.587,0.507,2.90419594403143e-05,29050.5932290087,6.64625831396915,1.18205116794473,1.17120347212641,0.172340268753569,0.907561232509822,5.374798945853e-05,15958.28775,0.597012066816375,0.768052451309687,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"11","CCCP",5074.0555,0.181,5.67012899556468e-06,4522.75499044321,79.2508833364485,1.07645495976242,0.386137024614953,0.0713522810894758,0.177191531111396,8.01797261097909e-07,371.80975,10.0127005113287,15.1361785756813,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"12","Cetylpyridinium chloride",6475.28625,0.2015,1.19912382583908e-05,2988.2128029148,16.6025961759381,0.599155417804496,0.463990762611499,0.0910566399293066,0.374726195574712,1.28826539034474e-06,877.34325,9.38043672125559,7.29874232427477,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"13","Chlorpromazine hydrochloride ",12610.1785,0.507,2.98051479113816e-05,28294.9825973901,6.50661856732507,1.2227168939076,1.17364716700802,0.177326598205413,0.931410872230676,4.86375340482773e-05,15946.88,0.675152761418328,0.791084890496809,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"14","Cinnamic acid",7280.1655,0.2275,2.76390809059378e-05,6079.48423325505,19.0838921855106,1.43646445354172,3.1118470304038,0.102374996712965,0.863721278310557,1.39614133372453e-05,1787.32675,1.90591009306176,4.20195662695531,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"15","Compound 48/80*",8749.47375,0.2365,1.46416007276087e-05,3790.88647240291,13.1538097564313,0.844620034437697,0.587007801096336,0.123036673602603,0.457550022737773,1.34644752251989e-06,1273.87175,10.8945281086401,7.35854334893175,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"16","Copper(II) sulfate",4237.12,0.166,6.03696347080111e-06,5737.23888663898,32.9658131367986,0.389411208787266,0.233636606428048,0.0595831435524976,0.188655108462535,2.24071939737142e-06,639.03875,2.75049093384193,7.43432158886929,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"17","Cycloheximide",10032.83125,0.289,1.76021154868409e-05,3435.45066360858,14.6574227132094,2.06294308417488,1.32593359619857,0.14108347759958,0.550066108963779,1.48529810316156e-06,534.4245,11.713765829593,18.4559370145633,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"18","Dequalinium Chloride",10210.081,0.3495,1.95491468184588e-05,19273.2771597336,10.451550534194,0.981993894844145,0.74831538757026,0.143575995465228,0.610910838076838,5.63275072870753e-06,3551.26425,3.4595779223649,2.90900523091473,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"19","Diamide",8834.01,0.264,1.2376314074223e-05,5043.67266346398,15.5593248594097,0.856991127295573,0.493731241493483,0.124225437555273,0.386759814819467,1.81337320844474e-06,829.79,6.8591309610251,10.6467867911484,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"20","DMSO control",5018.49375,0.25,1.24046930933181e-05,29468.877238632,17.2823133909718,1,1,0.0705709617673235,0.387646659166191,3.15240416137712e-05,13089.01225,0.386023656745105,0.420880494766838,"DMSO","SR1_results_DRUGPLATES_2019-07-02","S1L2"
"21","DTT",8578.41825,0.248,1.33419594333042e-05,4199.18027487475,14.4493411520221,0.834257773764716,0.536692795767046,0.120631260394588,0.416936232290757,1.3515610527591e-06,942.448,10.2035878660003,9.11536314741711,"case","SR1_results_DRUGPLATES_2019-07-02","S1L2"
