"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",68453.85625,0.576,1.52277627883098e-05,28374.1017996346,12.6769930892951,0.675920000215198,0.413973604813465,0.67097382026266,0.25379604647183,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"2","3-Amino-1,2,4- triazole",84108.21725,0.7045,3.2237434850268e-05,25390.8494104398,6.02731364898468,0.855478859286383,0.878718525362332,0.824415378990636,0.5372905808378,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"3","4-Aminopyridine",44669.8185,0.431,1.7120147568251e-05,36303.5940999076,13.9779241715467,0.44127912412533,0.46211099335504,0.437846462000958,0.285335792804184,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"4","5-Fluorocytosine",102106.57875,0.796,3.46446654877932e-05,11339.293761303,5.76363793836454,1.07234428954116,0.945939390853503,1.00083245811061,0.57741109146322,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"5","5-Fluorouracil",23493.6145,0.1845,1.03643626966451e-05,3168.2166611337,18.7882799003639,0.267701237794953,0.271362612483991,0.23028067571932,0.172739378277418,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"6","6-Azauracil",99103.5245,0.8185,2.66782990609716e-05,30570.1657179761,7.31569471295999,1.01008848073221,0.721194466659508,0.971396997598059,0.44463831768286,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"7","Azaserine*",58762.05275,0.779,5.12479754280902e-05,29763.9382448828,5.68630270681997,0.614266293563921,1.37974186264897,0.575976302578914,0.854132923801503,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"8","Benzamidine",70430.779,0.537,3.01067994320468e-05,26102.9558307968,6.56354198698381,0.737990202705646,0.821606624976708,0.690351302885221,0.501779990534114,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"9","Blasticidin hydrochloride",110840.62575,0.911,3.64223504335009e-05,25324.2854629313,5.29462020782168,1.12386827918038,0.991786734830178,1.0864421987882,0.607039173891681,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"10","Caffeine",111645.42425,0.9245,3.5699959396233e-05,25572.4043420579,5.39344499698151,1.10790856320928,0.971329529887939,1.09433070578647,0.594999323270551,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"11","CCCP",47457.47825,0.611,2.59283629625399e-05,49297.6269522721,25.7815192398758,0.405502407790101,0.605577786725603,0.465170659855041,0.432139382708999,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"12","Cetylpyridinium chloride",4080.268,0.0445,5.84310014388151e-06,8532.16750271077,47.727993291792,0.0400222563230862,0.15738820208299,0.0399941384990343,0.0973850023980251,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"13","Chlorpromazine hydrochloride ",118222.5705,0.9805,3.7716667424351e-05,25407.8183730695,5.10512542675066,1.17193147138527,1.02617846722983,1.15879884808764,0.628611123739184,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"14","Cinnamic acid",82364.154,0.643,4.63897023613743e-05,24091.0324563071,5.31088324029897,0.812256668179299,1.31649585625172,0.807320348180999,0.773161706022905,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"15","Compound 48/80*",4665.29525,0.043,4.7004102262916e-06,15140.5713822486,52.0113214544581,0.046135639502779,0.126830800169422,0.0457284826308926,0.0783401704381933,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"16","Copper(II) sulfate",2817.71,0.0755,1.64038968227503e-06,30700.9236156513,117.541385642815,0.0293802998584859,0.0446665189342155,0.0276187456289915,0.0273398280379171,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"17","Cycloheximide",8656.09,0.069,7.65063921930503e-06,4538.43938809012,26.4468177278074,0.101773741563233,0.196969261293849,0.0848456185525327,0.127510653655084,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"18","Dequalinium Chloride",27774.3405,0.2735,3.83219575138701e-06,32265.1859133924,55.0761619924941,0.266867782241257,0.103715599456698,0.272239671677531,0.0638699291897834,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"19","Diamide",65308.021,0.659,3.16784867082559e-05,61205.7563593634,6.09024892578114,0.663965594023846,0.861288804896387,0.640138843078896,0.527974778470931,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"20","DMSO control",111133.25375,0.859,3.84078528875189e-05,29080.0325753541,5.11934134814103,1,1,1.0893104919397,0.640130881458648,NA,NA,NA,NA,"DMSO","SR1_results_MITACS DRUG RUN 2","S1L1"
"21","DTT",5419.9335,0.095,3.93734006787458e-06,84936.3867320876,105.224223702648,0.0522530857703276,0.105714326960587,0.0531253268301385,0.0656223344645764,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"22","EDTA",126814.255,1.033,3.88295920765401e-05,25906.2506653872,4.96597701670142,1.21492197952576,1.02668544943831,1.2430131741645,0.647159867942335,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"23","ETOH control ",106932.6605,0.89,3.58139203797308e-05,28731.6284969375,5.37619932028037,1,1,1.04813694446228,0.596898672995512,NA,NA,NA,NA,"ETOH","SR1_results_MITACS DRUG RUN 2","S1L1"
"24","Fluconazole",118528.18925,0.9665,3.95329549907668e-05,29134.925493582,5.04120527219335,1.11892610479399,1.02323699505448,1.16179447450615,0.658882583179447,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"25","Guanidine hydrochloride",101511.976,0.817,5.11498102191831e-05,20653.4031416732,4.0909546257987,0.988194072746862,1.41536385936393,0.995004256449489,0.852496836986386,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"26","H2O control ",103372.7885,0.801,3.67624635810847e-05,25341.6026273685,5.23915859333874,1,1,1.01324364485381,0.612707726351412,NA,NA,NA,NA,"H2O","SR1_results_MITACS DRUG RUN 2","S1L1"
"27","Hydroxyurea",60939.0845,0.5465,2.53647891507644e-05,48821.4769962603,8.30346701729915,0.565640196318275,0.686520801679361,0.597315221818114,0.422746485846073,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"28","Hygromycin B",90903.12425,0.696,3.37226787024705e-05,27241.8109710487,5.78398225105307,0.934009286677295,0.919505460463643,0.891017977556725,0.562044645041176,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"29","Menadione ",7869.17925,0.0665,3.83842742415145e-06,5338.13176957751,51.5336979640799,0.0739960564912034,0.107123211652566,0.0771324444370386,0.0639737904025242,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"30","methylmethane sulfonate",102933.6495,0.7945,3.68215777324413e-05,19858.6973759723,5.23136562548406,1.03310364698854,1.00232324547237,1.00893927416387,0.613692962207355,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"31","Miconazole Nitrate",103154.18275,0.779,3.6104437365537e-05,26796.550801682,5.34237786812215,1.01736943475304,0.965786716037228,1.01110090603318,0.60174062275895,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
"32","Miltefosine",79951.5085,0.78,3.19927070430376e-05,56719.6341716464,6.01886873544218,0.79553908230976,0.851850914035907,0.78367198040808,0.533211784050627,NA,NA,NA,NA,"case","SR1_results_MITACS DRUG RUN 2","S1L1"
