"","sample","well","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYauc","BYmu","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"1","DMSO control","B01","DMSO",1,"DMSO",82649.6425,"SR1_results_MITACS DRUG RUN 2","S1L1",0.655,3.28738313114633e-05,28800.137018787,1,1,5.85696512416348,NA,NA,NA,NA,0.810118661088112,0.547897188524388
"2","EDTA","B03","DMSO",1,"case",124217.9885,"SR1_results_MITACS DRUG RUN 2","S1L1",1.006,3.73342325386401e-05,25995.9856093052,1.5029464707001,1.13568242730568,5.15722087737034,NA,NA,NA,NA,1.21756498253067,0.622237208977334
"3","6-Azauracil","B05","DMSO",1,"case",121642.8255,"SR1_results_MITACS DRUG RUN 2","S1L1",0.958,2.97748645070062e-05,29239.2135393007,1.47178888886301,0.905731498860115,6.46655783919916,NA,NA,NA,NA,1.19232364405006,0.496247741783437
"4","Nystatin ","D01","DMSO",1,"case",1847.7365,"SR1_results_MITACS DRUG RUN 2","S1L1",0.021,2.7720960266194e-06,0,0.0223562552009829,0.0843253103161346,69.4567870809581,NA,NA,NA,NA,0.0181112195303644,0.0462016004436567
"5","Triclosan","D02","DMSO",1,"case",133442.649,"SR1_results_MITACS DRUG RUN 2","S1L1",0.982,3.60408777651901e-05,23632.3858772347,1.61455809079876,1.09633943861671,5.34229173726835,NA,NA,NA,NA,1.30798363876687,0.600681296086502
"6","Miltefosine","E02","DMSO",1,"case",90297.1105,"SR1_results_MITACS DRUG RUN 2","S1L1",0.843,3.23106734542584e-05,50398.4708151227,1.09252874868757,0.982869113980989,5.95904891185416,NA,NA,NA,NA,0.885077927087045,0.53851122423764
"7","Fluconazole","F01","DMSO",1,"case",109371.441,"SR1_results_MITACS DRUG RUN 2","S1L1",0.937,3.22558901419548e-05,27444.2414336583,1.32331414500674,0.98120264219726,5.96916974361958,NA,NA,NA,NA,1.07204148335182,0.53759816903258
"8","Cinnamic acid","F02","DMSO",1,"case",90069.0735,"SR1_results_MITACS DRUG RUN 2","S1L1",0.678,6.80735937509071e-05,7568.07155630802,1.0897696683927,2.07075327198535,2.82842248924618,NA,NA,NA,NA,0.882842744652728,1.13455989584845
"9","CCCP","F03","DMSO",1,"case",26571.9055,"SR1_results_MITACS DRUG RUN 2","S1L1",0.529,4.05046388860356e-06,84977.6023569989,0.32150054974527,0.123212407164453,47.5355141495297,NA,NA,NA,NA,0.26045359489873,0.067507731476726
"10","Cycloheximide","G05","DMSO",1,"case",16113.5945,"SR1_results_MITACS DRUG RUN 2","S1L1",0.126,5.9673988659038e-06,9076.87877618024,0.194962664236569,0.181524289315889,32.2654623589858,NA,NA,NA,NA,0.157942892513501,0.0994566477650633
"11","Miconazole Nitrate","H01","DMSO",1,"case",112838.8695,"SR1_results_MITACS DRUG RUN 2","S1L1",0.834,3.76262002849986e-05,25391.687128177,1.36526748436934,1.14456389121514,5.11720242890534,NA,NA,NA,NA,1.10602866646442,0.62710333808331
"12","Guanidine hydrochloride","H02","DMSO",1,"case",105784.4625,"SR1_results_MITACS DRUG RUN 2","S1L1",0.868,6.56044277113351e-05,15474.9258539985,1.27991433840745,1.9956428896214,2.93487635218875,NA,NA,NA,NA,1.03688249013812,1.09340712852225
"13","5-Fluorouracil","H04","DMSO",1,"case",40280.769,"SR1_results_MITACS DRUG RUN 2","S1L1",0.293,9.2658171062105e-06,6336.4333222674,0.487367734228251,0.281859969968863,20.7796982480716,NA,NA,NA,NA,0.394825696310538,0.154430285103508
"14","H2O control ","A01","H2O",1,"H2O",85648.5255,"SR1_results_MITACS DRUG RUN 2","S1L1",0.662,3.60949868269675e-05,25536.885970097,1,1,5.33428324581134,NA,NA,NA,NA,0.839513235671056,0.601583113782791
"15","Cetylpyridinium chloride","A02","H2O",1,"case",3703.0175,"SR1_results_MITACS DRUG RUN 2","S1L1",0.027,2.59194660237047e-06,0,0.0432350408647724,0.0718090469126855,74.2842785853632,NA,NA,NA,NA,0.0362963890507554,0.0431991100395078
"16","Tamoxifen","A03","H2O",1,"case",130620.833,"SR1_results_MITACS DRUG RUN 2","S1L1",0.978,3.94417149238157e-05,25666.9877223907,1.52507976334047,1.09272002543987,4.88165597922858,NA,NA,NA,NA,1.2803246467784,0.657361915396928
"17","Sodium Fluoride","A04","H2O",1,"case",60627.668,"SR1_results_MITACS DRUG RUN 2","S1L1",0.632,1.42464980242588e-05,26274.7250130865,0.707865869798307,0.394694645341021,13.5149622848378,NA,NA,NA,NA,0.594262766775483,0.237441633737646
"18","5-Fluorocytosine","A05","H2O",1,"case",134101.222,"SR1_results_MITACS DRUG RUN 2","S1L1",1.009,4.11951139987303e-05,24671.8803075992,1.56571547749529,1.14129738282526,4.67387670039724,NA,NA,NA,NA,1.31443886665232,0.686585233312172
"19","Azaserine*","A06","H2O",1,"case",75498.433,"SR1_results_MITACS DRUG RUN 2","S1L1",0.728,2.13971054331387e-05,40512.706291366,0.881491334021857,0.592799923593611,8.99845467839199,NA,NA,NA,NA,0.740023642040685,0.356618423885645
"20","Compound 48/80*","B02","H2O",1,"case",4453.3995,"SR1_results_MITACS DRUG RUN 2","S1L1",0.043,2.5339864264146e-06,13083.2032113551,0.0519962191293066,0.070203278880861,75.9833918137061,NA,NA,NA,NA,0.0436515141639054,0.04223310710691
"21","Tartaric acid","B04","H2O",1,"case",119035.6675,"SR1_results_MITACS DRUG RUN 2","S1L1",0.952,3.61575722499745e-05,24767.3700136412,1.38981572426486,1.00173390901366,5.32505009345613,NA,NA,NA,NA,1.16676869566411,0.602626204166242
"22","DTT","B06","H2O",1,"case",4386.552,"SR1_results_MITACS DRUG RUN 2","S1L1",0.04,1.05670782422056e-06,3749.63392579517,0.0512157328382728,0.0292757503773645,182.208250072241,NA,NA,NA,NA,0.0429962855923228,0.0176117970703427
"23","Caffeine","C02","H2O",1,"case",108818.191,"SR1_results_MITACS DRUG RUN 2","S1L1",0.88,3.55201615339774e-05,25353.3628961203,1.27052030802328,0.984074650151677,5.42060832985502,NA,NA,NA,NA,1.06661861477441,0.592002692232957
"24","Chlorpromazine hydrochloride ","C03","H2O",1,"case",114500.17,"SR1_results_MITACS DRUG RUN 2","S1L1",0.954,3.74823059826145e-05,25297.6187374919,1.33686095973713,1.03843523097259,5.13684733213,NA,NA,NA,NA,1.12231246995123,0.624705099710242
"25","Sodium Orthovanadate","C04","H2O",1,"case",5172.248,"SR1_results_MITACS DRUG RUN 2","S1L1",0.045,1.43682699337203e-06,10048.3077777764,0.0603892240970336,0.0398068296924419,134.004222065043,NA,NA,NA,NA,0.0506975529213652,0.0239471165562005
"26","Blasticidin hydrochloride","C05","H2O",1,"case",122046.4155,"SR1_results_MITACS DRUG RUN 2","S1L1",0.983,3.78628171255192e-05,25229.4063563352,1.42496808657844,1.04897716979442,5.08522339609809,NA,NA,NA,NA,1.19627956909146,0.631046952091987
"27","Diamide","C06","H2O",1,"case",72949.265,"SR1_results_MITACS DRUG RUN 2","S1L1",0.705,3.02560538879282e-05,57552.6095427151,0.85172820634256,0.838234241031033,6.36371432315882,NA,NA,NA,NA,0.715037102418948,0.504267564798803
"28","Trifluoperazine","D04","H2O",1,"case",113323.5005,"SR1_results_MITACS DRUG RUN 2","S1L1",0.933,3.72307744941966e-05,25507.5718579507,1.32312260880662,1.03146663199169,5.17155192457483,NA,NA,NA,NA,1.11077894250877,0.62051290823661
"29","3-Amino-1,2,4- triazole","D05","H2O",1,"case",94170.182,"SR1_results_MITACS DRUG RUN 2","S1L1",0.789,3.53092714428752e-05,27417.1064029702,1.09949565915177,0.978232008011006,5.45298375245081,NA,NA,NA,NA,0.923041158420786,0.588487857381253
"30","Sodium Selenate","D06","H2O",1,"case",73985.0935,"SR1_results_MITACS DRUG RUN 2","S1L1",0.599,1.62910253176047e-05,25044.4919560868,0.863822150680224,0.451337616375948,11.8188315182843,NA,NA,NA,NA,0.725190128761885,0.271517088626745
"31","Poly-L-lysine hydrochloride","E03","H2O",1,"case",105078.456,"SR1_results_MITACS DRUG RUN 2","S1L1",0.844,3.47514035964081e-05,25506.7997985138,1.22685656742567,0.962776458764199,5.54052105995438,NA,NA,NA,NA,1.02996232662381,0.579190059940136
"32","Pentamidine Isethionate","E04","H2O",1,"case",101250.943,"SR1_results_MITACS DRUG RUN 2","S1L1",0.815,3.4301411180896e-05,25588.9008224285,1.18216796388398,0.950309563633602,5.61320589620838,NA,NA,NA,NA,0.992445652466903,0.571690186348268
"33","Thialysine","E05","H2O",1,"case",73048.4085,"SR1_results_MITACS DRUG RUN 2","S1L1",0.638,1.72754358287823e-05,33582.5326724012,0.85288576859388,0.478610392950065,11.1453560649442,NA,NA,NA,NA,0.716008891250044,0.287923930479705
"34","Urea hydrogen peroxide","E06","H2O",1,"case",103422.53,"SR1_results_MITACS DRUG RUN 2","S1L1",0.817,4.08149858150756e-05,25856.8148980847,1.20752259768909,1.13076605376627,4.7174066006353,NA,NA,NA,NA,1.01373120313188,0.680249763584593
