"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",59451.83075,0.6365,1.97867214964904e-05,34329.2995257012,10.8495873108908,0.782620600621231,0.947194251823521,0.571306633170262,0.520703197276063,1.52277627883098e-05,68453.85625,1.28144848337012,0.862884094038004,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"2","3-Amino-1,2,4- triazole",61785.274,0.54,2.08337008647039e-05,37868.7916047086,9.38616563360769,0.837730038434787,1.03081953940425,0.59373002350213,0.548255285913261,3.2237434850268e-05,84108.21725,0.659886815563443,0.742572757967347,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"3","4-Aminopyridine",5319.1555,0.0495,6.56997170501388e-06,0,37.448541590332,0.074095218709165,0.356718078767044,0.0511148064185405,0.172893992237207,1.7120147568251e-05,44669.8185,0.57527591697008,0.120754306143249,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"4","5-Fluorocytosine",94063.07225,0.824,2.09261212632274e-05,20382.4687048646,9.20101687333352,1.27295963897378,1.05624054330356,0.903905841668275,0.550687401663878,3.46446654877932e-05,102106.57875,0.626643115888957,1.01611249112194,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"5","5-Fluorouracil",47172.66975,0.529,1.28567726998976e-05,2067.28700817645,17.7872603131674,0.729728980991799,0.579154128446176,0.453309154529698,0.338336123681515,1.03643626966451e-05,23493.6145,1.30743974097041,2.89950197773606,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"6","6-Azauracil",99326.7135,0.8485,4.0681461821243e-05,10315.9668193351,7.16332014185489,1.37558487830935,2.01482575392708,0.954487179918378,1.07056478476955,2.66782990609716e-05,99103.5245,1.44120941689176,1.05311543291718,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"7","Azaserine*",78077.46725,0.772,2.07743559863458e-05,41398.8692185228,9.26822521944142,1.06153992606532,1.04918638440769,0.75029102347801,0.546693578588048,5.12479754280902e-05,58762.05275,0.614119275314209,1.42570493252363,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"8","Benzamidine",61147.017,0.5395,1.93543743689102e-05,33143.0139527583,10.134181986088,0.823226890708527,0.998605608439238,0.587596647066664,0.509325641287111,3.01067994320468e-05,70430.779,0.645460855064144,0.959074917126878,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"9","Blasticidin hydrochloride",77630.20725,0.7615,2.38424577824127e-05,35854.2338835585,8.09878871460445,1.05956621801041,1.21423782177243,0.745993046417787,0.627433099537175,3.64223504335009e-05,110840.62575,0.654247055209492,0.70213516718615,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
"10","Caffeine",71304.48325,0.6595,3.14483761587273e-05,32209.5811136986,6.25386136175966,0.9829607850869,1.62504048491931,0.685205547778743,0.827588846282298,3.5699959396233e-05,111645.42425,0.881573392307567,0.641454158083676,"case","SR1_results_MITACS DRUG RUN 2","S2L1"
