"","well","BYauc","BYmu","sample","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"1","A01",85648.5255,3.60949868269675e-05,"H2O control ","H2O",1,"H2O",64752.473,"SR1_results_MITACS DRUG RUN 2","S2L1",0.656,1.70502612140365e-05,133735.82150295,1,1,11.2925474320808,0.756025543020002,0.472372002676499,0.62224353518463,0.448691084579907
"2","A02",3703.0175,2.59194660237047e-06,"Cetylpyridinium chloride","H2O",1,"case",11683.16,"SR1_results_MITACS DRUG RUN 2","S2L1",0.176,3.52783477613105e-06,118553.081966532,0.18042801237877,0.206907960637388,54.5776363427178,3.15503774961906,1.36107540676365,0.112270164268902,0.0928377572666065
"3","A03",130620.833,3.94417149238157e-05,"Tamoxifen","H2O",1,"case",86165.4855,"SR1_results_MITACS DRUG RUN 2","S2L1",0.883,1.59698877059522e-05,40372.9342768193,1.33069026568298,0.936635955630121,12.0564957646578,0.659661123888255,0.404898411156796,0.828013415154352,0.420260202788217
"4","A04",60627.668,1.42464980242588e-05,"Sodium Fluoride","H2O",1,"case",147154.039,"SR1_results_MITACS DRUG RUN 2","S2L1",1.547,9.82189410338217e-05,154964.182720238,2.27256245487334,5.76055344846939,1.9603233496742,2.42717630175055,6.89425154635025,1.41408729584825,2.58470897457426
"5","A05",134101.222,4.11951139987303e-05,"5-Fluorocytosine","H2O",1,"case",95653.0595,"SR1_results_MITACS DRUG RUN 2","S2L1",0.825,2.08858989205716e-05,18330.8659404445,1.47721090899494,1.22496064185677,9.21870225557923,0.713289991496125,0.506999420397656,0.919184938226309,0.549628918962412
"6","A06",75498.433,2.13971054331387e-05,"Azaserine*","H2O",1,"case",81926.1125,"SR1_results_MITACS DRUG RUN 2","S2L1",0.801,2.08087116439127e-05,33987.7341693146,1.2652198241139,1.22043359821269,9.25289786238153,1.08513659482178,0.972501243634819,0.787274856142309,0.547597674839808
"7","A07",121097.0515,3.7429940335202e-05,"H2O control ","H2O-2",2,"H2O",86527.8945,"SR1_results_MITACS DRUG RUN 2","S2L1",0.812,2.3623504934335e-05,35583.0250011412,1,1,8.15039444926015,0.714533454185712,0.63113926238663,0.831496010442145,0.6216711824825
"8","A08",4457.5185,9.09425368539255e-06,"Cetylpyridinium chloride","H2O-2",2,"case",6392.8345,"SR1_results_MITACS DRUG RUN 2","S2L1",0.1,2.48910513384921e-05,91865.5928850777,0.0738817757780989,1.05365615338115,7.73534556136342,1.43416892156477,2.73700868697701,0.0614324018038704,0.655027666802423
"9","A09",135373.431,3.60520452657826e-05,"Tamoxifen","H2O-2",2,"case",85215.368,"SR1_results_MITACS DRUG RUN 2","S2L1",0.788,3.1934808004053e-05,38489.7445572653,0.984831174876213,1.3518234526511,6.02918556655913,0.629483698318912,0.88579740119107,0.818883192868621,0.840389684317185
"10","A10",63382.036,1.08664832550142e-05,"Sodium Fluoride","H2O-2",2,"case",130447.966,"SR1_results_MITACS DRUG RUN 2","S2L1",1.319,6.72984008571375e-05,151356.437692628,1.50758280614351,2.84878984063556,2.86100235721208,2.05812205212215,6.19320890464571,1.25354908871951,1.77101054887204
