"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",42198.04275,0.3195,1.85902894851071e-05,14249.148289678,10.4846501646579,0.313016687896132,0.356452888880029,0.593396467130428,0.580946546409598,1.52277627883098e-05,68453.85625,1.21711351476942,0.617850873988697,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"2","3-Amino-1,2,4- triazole",142064.185,1.086,5.12062022136806e-05,22447.5415418959,3.76147018491335,1.05386952680526,0.946548198234558,1.99773212194216,1.60019381917752,3.2237434850268e-05,84108.21725,1.60005661799479,1.70814237391214,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"3","4-Aminopyridine",192471.2965,1.561,5.04951494373707e-05,16750.2826198529,3.8136030889611,1.42779782296811,0.93530358953405,2.70656599036488,1.57797341991784,1.7120147568251e-05,44669.8185,3.68519648904061,4.32565750554143,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"4","5-Fluorocytosine",128837.067,0.988,5.50019160678388e-05,18202.5232971087,3.74307386416061,0.955735313447973,1.09687176223406,1.8117300095215,1.71880987711996,3.46446654877932e-05,102106.57875,1.72569059857644,1.39094250043679,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"5","5-Fluorouracil",41554.40725,0.328,1.22334252292056e-05,10046.1517820375,18.4740208137256,0.549313897037221,0.711787421240126,0.584345548961487,0.382294538412675,1.03643626966451e-05,23493.6145,1.24243139310645,3.16114759632923,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"6","6-Azauracil",103707.159,0.8895,5.13105685734256e-05,26395.9255090611,6.49646900232233,1.30385804187491,2.7794626425249,1.45834872321735,1.60345526791955,2.66782990609716e-05,99103.5245,2.09663985285228,1.11452464708689,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"7","Azaserine*",108865.8605,0.8715,2.79197167351632e-05,27257.3493747573,7.09711876540767,0.807529466305887,0.543954302550898,1.53089131158373,0.87249114797385,5.12479754280902e-05,58762.05275,0.743748221223231,2.03026919908176,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"8","Benzamidine",46356.8,0.3935,1.46701799828483e-05,14920.674038638,13.129803310126,0.343885075569832,0.271116334067556,0.651877659597656,0.458443124464011,3.01067994320468e-05,70430.779,0.49850558679287,0.717945595983815,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"9","Blasticidin hydrochloride",127839.268,0.9495,3.72964480905115e-05,17336.2200437565,5.1625060549249,0.948298988752884,0.692526537537786,1.7976987805137,1.16551400282848,3.64223504335009e-05,110840.62575,1.02546427431194,1.16573046637623,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"10","Caffeine",133039.92125,1.0385,4.12788870549699e-05,20378.5715515101,4.66503213494373,0.986887111091091,0.764648213070292,1.87083130193427,1.28996522046781,3.5699959396233e-05,111645.42425,1.15637024322437,1.19247025130216,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"11","CCCP",76452.5885,0.7825,2.08444342799471e-05,18703.1395017,10.7508330130269,0.933860490397463,1.15134380909099,1.07509005068431,0.651388571248346,2.59283629625399e-05,47457.47825,1.90737433316393,1.85287477367434,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"12","Cetylpyridinium chloride",39712.9845,0.339,1.7147273623177e-05,13888.2539312046,11.2634053817465,0.294595049882394,0.323780500552474,0.55845113104222,0.535852300724282,5.84310014388151e-06,4080.268,4.11919220811989,9.8288221531329,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"13","Chlorpromazine hydrochloride ",128324.33625,0.9485,3.92412923852454e-05,17817.7446745691,4.90796957483579,0.951895870391132,0.725847367550297,1.80451989749233,1.22629038703892,3.7716667424351e-05,118222.5705,1.04057172427571,1.08636155023854,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"14","Cinnamic acid",77069.2175,0.6555,1.45644658500924e-05,10589.0893890776,13.2559904916004,0.96998490882026,0.822725275064871,1.08376119859271,0.455139557815387,4.63897023613743e-05,82364.154,0.411530993184905,0.947440285750508,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"15","Compound 48/80*",70233.3035,0.5635,2.03690512150329e-05,16025.6192501057,9.5451097206666,0.521383701516223,0.367904187862447,0.987633346378349,0.636532850469779,4.7004102262916e-06,4665.29525,5.75195708299788,15.4107333071311,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"16","Copper(II) sulfate",24760.48775,0.2655,6.35707849890418e-06,20636.7280684421,32.5071901357889,0.183677291572995,0.127005754172127,0.348186432302627,0.198658703090756,1.64038968227503e-06,2817.71,3.91898026242958,9.42888722364011,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"17","Cycloheximide",45118.20725,0.3985,1.16863313067007e-05,13715.5206429892,16.6016143988456,0.573115690177617,0.658561101898273,0.634460345566821,0.365197853334397,7.65063921930503e-06,8656.09,1.57444560619147,20.2167215400139,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"18","Dequalinium Chloride",135279.02275,0.9725,4.51477627607615e-05,19671.1940635455,4.26706114863211,1.00348364271587,0.844813557424761,1.9023179499648,1.4108675862738,3.83219575138701e-06,27774.3405,12.8241585993151,5.08865279991124,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"19","Diamide",49663.01225,0.443,1.40438006296624e-05,13307.4429609653,13.9108239914392,0.368379174993148,0.252033751374898,0.698370210931292,0.438868769676949,3.16784867082559e-05,65308.021,0.446615039235022,0.773808478785409,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
