"","sample","strain","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","rel_fitness","rel_growthrate"
"1","DMSO","BY4743"," 54293","0.6601","5.9e-05"," 15583","    3.6","1.00000","1.0000"
"2","DMSO","CONTROL","   420","0.0046","5.7e-07"," 49478","  818.2","0.00774","0.0097"
"3","DMSO","S6-113"," 37304","0.5578","5.6e-05"," 17250","    3.9","0.68709","0.9467"
"4","DMSO","S6-14"," 82276","0.5495","4.2e-05"," 17978","    5.4","1.51541","0.7080"
"5","DMSO","S6-45"," 50026","0.5814","3.6e-05"," 24698","    5.5","0.92142","0.6084"
"6","DMSO","U5-05","  3135","0.4100","1.8e-05"," 51171","   12.5","0.05775","0.2993"
"7","DMSO","W-34/70"," 70892","0.6375","5.0e-05"," 15058","    4.1","1.30573","0.8515"
"8","DMSO","WLP-644"," 58046","0.4536","1.6e-05"," 35257","   11.7","1.06913","0.2806"
"9","ETOH","BY4743"," 90526","0.7239","4.3e-05"," 26895","    4.5","1.00000","1.0000"
"10","ETOH","CONTROL","   203","0.0039","4.2e-07"," 59152","38623.3","0.00224","0.0096"
"11","ETOH","S6-113"," 83779","0.6126","5.2e-05"," 29434","    3.8","0.92547","1.2022"
"12","ETOH","S6-14"," 66254","0.5493","5.7e-05"," 30396","    3.7","0.73189","1.3098"
"13","ETOH","S6-45"," 30725","0.7093","5.8e-05"," 28956","    3.4","0.33941","1.3383"
"14","ETOH","U5-05"," 37855","0.4324","2.2e-05"," 37652","   11.7","0.41817","0.5071"
"15","ETOH","W-34/70"," 46855","0.7105","4.0e-05"," 23904","    4.9","0.51758","0.9280"
"16","ETOH","WLP-644"," 57806","0.4647","1.9e-05"," 32631","   11.5","0.63856","0.4421"
"17","H2O","BY4743","101867","0.6800","7.3e-05"," 13954","    2.7","1.00000","1.0000"
"18","H2O","CONTROL","    62","0.0050","4.9e-07","125525","  951.7","0.00061","0.0067"
"19","H2O","S6-113"," 96781","0.5938","5.8e-05"," 14441","    3.6","0.95007","0.7985"
"20","H2O","S6-14"," 25750","0.5456","5.1e-05"," 15864","    4.3","0.25278","0.6942"
"21","H2O","S6-45"," 80167","0.6003","4.7e-05"," 22910","    4.2","0.78698","0.6388"
"22","H2O","U5-05"," 61136","0.4454","2.3e-05"," 35085","    9.0","0.60016","0.3136"
"23","H2O","W-34/70"," 71435","0.6944","6.0e-05"," 12965","    3.3","0.70126","0.8206"
"24","H2O","WLP-644"," 33669","0.4728","3.5e-05"," 20284","    6.4","0.33052","0.4820"
