"","well","compound","strain","run","plate","A","mu","lambda","DT","auc"
"1","A01","H2O","BY4743","saved-2019-08-27_SR1_results","S1L1",0.657,7.45209584392695e-05,14675.4102162942,2.58371453509665,85463.34
"2","A02","H2O","BY4743","saved-2019-08-27_SR1_results","S1L1",0.674,8.96738888718655e-05,14909.4840248702,2.14712315826956,89978.524
"3","A03","H2O","BY4743","saved-2019-08-27_SR1_results","S1L1",0.673,7.47118090936611e-05,14052.4278974167,2.57711445920816,94311.725
"4","A04","H2O","BY4743","saved-2019-08-27_SR1_results","S1L1",0.675,8.00274517339983e-05,14314.9433296558,2.40593545485937,89309.1465
"5","A05","ETOH","BY4743","saved-2019-08-27_SR1_results","S1L1",0.739,3.93733906615262e-05,27731.0922387846,4.89012706942244,97310.148
"6","A06","ETOH","BY4743","saved-2019-08-27_SR1_results","S1L1",0.698,3.79397549677093e-05,35289.926972422,5.07491109662532,86422.8935
"7","A07","ETOH","BY4743","saved-2019-08-27_SR1_results","S1L1",0.64,6.0105906579043e-05,14119.1978986086,3.20336044238299,86859.522
"8","A08","ETOH","BY4743","saved-2019-08-27_SR1_results","S1L1",0.738,3.63145256949373e-05,26707.5041028323,5.30203492416029,95195.96
"9","A09","DMSO","BY4743","saved-2019-08-27_SR1_results","S1L1",0.642,8.35950643862927e-05,15592.621266064,2.3032565965754,86583.3305
"10","A10","DMSO","BY4743","saved-2019-08-27_SR1_results","S1L1",0.62,8.42174023800267e-05,15472.8799201461,2.28623631277586,84562.4485
"11","A11","DMSO","BY4743","saved-2019-08-27_SR1_results","S1L1",0.593,3.4190263946614e-05,22638.7669523947,5.63145355617945,76909.979
"12","A12","DMSO","BY4743","saved-2019-08-27_SR1_results","S1L1",0.597,6.0280074093546e-05,15770.0400775395,3.19410495730443,74215.1145
"13","B01","H2O","S6-14","saved-2019-08-27_SR1_results","S1L1",0.556,4.16415732937966e-05,25390.3409893523,4.62376582485074,73155.791
"14","B02","H2O","S6-14","saved-2019-08-27_SR1_results","S1L1",0.523,7.39104970459439e-05,14682.7414909333,2.60505464290393,72700.7185
"15","B03","H2O","S6-14","saved-2019-08-27_SR1_results","S1L1",0.544,2.88084076121777e-05,20618.7711057049,6.68349622377198,74390.8455
"16","B04","H2O","S6-14","saved-2019-08-27_SR1_results","S1L1",0.53,7.25347169322541e-05,14513.4971811528,2.65446522206329,74025.729
"17","B05","ETOH","S6-14","saved-2019-08-27_SR1_results","S1L1",0.547,5.73741104540942e-05,33288.392914143,3.35588442182347,70971.112
"18","B06","ETOH","S6-14","saved-2019-08-27_SR1_results","S1L1",0.523,4.0048412859085e-05,36046.9650060169,4.80770322075812,67554.7985
"19","B07","ETOH","S6-14","saved-2019-08-27_SR1_results","S1L1",0.505,7.99906430994782e-05,15301.2938316717,2.40704257433492,69060.2435
"20","B08","ETOH","S6-14","saved-2019-08-27_SR1_results","S1L1",0.53,5.54727772778134e-05,33739.9811514037,3.47090758633931,70269.87
"21","B09","DMSO","S6-14","saved-2019-08-27_SR1_results","S1L1",0.523,2.48017612055322e-05,21157.5396526705,7.76319398825298,72055.9565
"22","B10","DMSO","S6-14","saved-2019-08-27_SR1_results","S1L1",0.508,2.92000528858117e-05,22996.5205570267,6.59385393039576,70389.262
"23","B11","DMSO","S6-14","saved-2019-08-27_SR1_results","S1L1",0.496,2.48359650601322e-05,22797.9093940559,7.75250259141122,68508.4945
"24","B12","DMSO","S6-14","saved-2019-08-27_SR1_results","S1L1",0.509,2.55323372819758e-05,23700.7624176262,7.54105984745844,67910.8105
"25","C01","H2O","S6-45","saved-2019-08-27_SR1_results","S1L1",0.608,5.04829633447213e-05,23000.2674322364,3.81397744371927,81471.242
"26","C02","H2O","S6-45","saved-2019-08-27_SR1_results","S1L1",0.536,3.30381546087826e-05,25132.1886260568,5.82783408361708,70944.9865
"27","C03","H2O","S6-45","saved-2019-08-27_SR1_results","S1L1",0.587,4.48777979554711e-05,22483.1706198366,4.29033714354518,80626.2495
"28","C04","H2O","S6-45","saved-2019-08-27_SR1_results","S1L1",0.588,4.99371588438968e-05,22857.9731049145,3.85566355688667,79405.01
"29","C05","ETOH","S6-45","saved-2019-08-27_SR1_results","S1L1",0.789,6.49949806074292e-05,29561.3667354202,2.96239619874378,65284.863
"30","C06","ETOH","S6-45","saved-2019-08-27_SR1_results","S1L1",0.78,6.42844959103352e-05,31489.5136538691,2.9951371751819,57623.432
"31","C07","ETOH","S6-45","saved-2019-08-27_SR1_results","S1L1",0.559,4.18889811689979e-05,21263.6020826794,4.59645658871678,75923.437
"32","C08","ETOH","S6-45","saved-2019-08-27_SR1_results","S1L1",0.73,5.88298387682222e-05,29160.0191735295,3.27284397714307,60058.2075
"33","C09","DMSO","S6-45","saved-2019-08-27_SR1_results","S1L1",0.565,3.69551137389839e-05,23514.3882312409,5.21012828830135,76478.599
"34","C10","DMSO","S6-45","saved-2019-08-27_SR1_results","S1L1",0.561,3.17571024128056e-05,24536.6120366876,6.06292353080784,76081
"35","C11","DMSO","S6-45","saved-2019-08-27_SR1_results","S1L1",0.546,3.3714379482292e-05,24454.8475023632,5.71094252498413,73092.4685
"36","C12","DMSO","S6-45","saved-2019-08-27_SR1_results","S1L1",0.562,3.04924452839527e-05,25117.6615202864,6.31437989626246,74229.698
"37","D01","H2O","S6-113","saved-2019-08-27_SR1_results","S1L1",0.583,5.78586678754838e-05,14125.8058409873,3.32777940728321,78903.7465
"38","D02","H2O","S6-113","saved-2019-08-27_SR1_results","S1L1",0.571,7.06136140459796e-05,14529.0780530303,2.72668218572557,81436.5595
"39","D03","H2O","S6-113","saved-2019-08-27_SR1_results","S1L1",0.589,7.05972542345697e-05,14160.2043464345,2.7273140517495,80917.6995
"40","D04","H2O","S6-113","saved-2019-08-27_SR1_results","S1L1",0.585,8.51155387491771e-05,14828.0874699999,2.26211202229787,81335.0995
"41","D05","ETOH","S6-113","saved-2019-08-27_SR1_results","S1L1",0.587,4.26903762013869e-05,30500.4102089518,4.51017069000714,77991.751
"42","D06","ETOH","S6-113","saved-2019-08-27_SR1_results","S1L1",0.596,5.58715505485275e-05,33238.8464088565,3.44613459978422,78123.813
"43","D07","ETOH","S6-113","saved-2019-08-27_SR1_results","S1L1",0.562,4.88494339405321e-05,13624.8608647437,3.94151718775836,78754.093
"44","D08","ETOH","S6-113","saved-2019-08-27_SR1_results","S1L1",0.59,4.31361254401068e-05,29740.880892295,4.46356462302603,75429.911
"45","D09","DMSO","S6-113","saved-2019-08-27_SR1_results","S1L1",0.54,7.34647366168676e-05,15675.5787696627,2.62086127788099,74954.258
"46","D10","DMSO","S6-113","saved-2019-08-27_SR1_results","S1L1",0.525,6.71836689093529e-05,15590.4276035062,2.86588819298717,72393.0545
"47","D11","DMSO","S6-113","saved-2019-08-27_SR1_results","S1L1",0.562,3.24923982909303e-05,23078.8441218193,5.9257208952353,74245.6015
"48","D12","DMSO","S6-113","saved-2019-08-27_SR1_results","S1L1",0.537,2.88940572427275e-05,23571.0699367289,6.66368457262384,71234.076
"49","E01","H2O","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.46,5.05929066480858e-05,18047.9385970218,3.80568930004654,57915.5085
"50","E02","H2O","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.465,4.36872316569885e-05,16996.3120291523,4.40725759417794,59507.807
"51","E03","H2O","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.458,4.93794251807757e-05,17153.5759078252,3.89921273453449,59052.8885
"52","E04","H2O","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.441,1.6788656336465e-05,30996.151248127,11.4685106199163,56590.1705
"53","E05","ETOH","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.46,1.39949487829228e-05,36108.4289408446,13.7578841105742,53693.0565
"54","E06","ETOH","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.425,1.16626175603359e-05,53476.3461805438,16.509234097129,44041.029
"55","E07","ETOH","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.435,3.85155482508304e-05,17515.4115897301,4.99904304191548,55663.3225
"56","E08","ETOH","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.447,1.36275076146535e-05,36958.36992991,14.1288406459474,52460.834
"57","E09","DMSO","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.433,1.62844926392019e-05,33823.1382136278,11.8235727544479,53683.0725
"58","E10","DMSO","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.414,1.66952619153144e-05,36657.2410394027,11.5326662418071,51064.876
"59","E11","DMSO","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.41,1.45830615014366e-05,34942.6957911373,13.2030495427799,49943.1365
"60","E12","DMSO","WLP-644","saved-2019-08-27_SR1_results","S1L1",0.43,1.57806158028908e-05,35103.9347781417,12.2011007614546,51626.5395
"61","F01","H2O","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.682,7.14537817222384e-05,13793.518644791,2.69462131811772,91569.771
"62","F02","H2O","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.692,6.30996838971018e-05,13345.3992684762,3.05137635559086,97062.9895
"63","F03","H2O","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.7,7.39010979738957e-05,13524.3382568567,2.60538596540048,96993.7635
"64","F04","H2O","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.671,7.02182646931975e-05,13514.1165390845,2.74203420335345,94232.495
"65","F05","ETOH","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.702,3.48354541153762e-05,25115.4883405651,5.5271529646541,94400.683
"66","F06","ETOH","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.694,3.3099361966838e-05,33930.5971042677,5.81705724967687,86308.1115
"67","F07","ETOH","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.647,5.69507128234977e-05,13471.9776414894,3.38083360054858,89007.242
"68","F08","ETOH","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.685,3.42291141327043e-05,25130.5972222937,5.62506183310511,89636.439
"69","F09","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.634,7.3685164486538e-05,15069.0258281386,2.61302101760321,83043.8615
"70","F10","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.615,4.24735563956656e-05,14138.2107593991,4.53319429376822,80099.359
"71","F11","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.602,2.99863416817174e-05,21952.2629596619,6.42095276351318,78164.194
"72","F12","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.592,3.94638204036553e-05,14631.392132387,4.87892154179375,75935.004
"73","G01","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.407,3.47392266599351e-05,39115.8247282036,5.54246314616243,46755.2175
"74","G02","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.415,2.3674441106828e-05,34508.2099830887,8.13285866475396,48631.209
"75","G03","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.421,2.39152020309475e-05,33959.8694127444,8.05098293711739,50005.486
