"","compound","plate","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_auc","ave_rel_inhib_off_Plate","ave_rel_inhib","ave_rel_fit","ave_rel_fit_off_plate","ave_rel_fit_to_by"
"1","2-Deoxy-D-glucose","S1L1",0.453,1.72261005114026e-05,38914.3349079427,11.4243432348684,52265.726,68.2314759981626,45.6505514013094,0.708778773208246,0.710438417126862,0.766780084879543
"2","3-Amino-1,2,4- triazole","S1L1",0.517,2.69690030991039e-05,26276.5287948762,7.16452141065135,69164.41475,50.2635305249505,20.5155406048859,0.938078633278566,0.940139190575785,0.832118771266511
"3","4-Aminopyridine","S1L1",0.647,2.61283873118873e-05,32970.6757594465,7.43438331389894,77201.02275,51.8138014521888,23.9001788841714,1.03583194395936,1.04937932753646,1.75380655478634
"4","5-Fluorocytosine","S1L1",0.511,2.31829315302955e-05,24016.4230320256,8.35559471187724,64667.06925,57.2458365568204,32.1015341460723,0.871492957250831,0.879007598941669,0.669732633901157
"5","5-Fluorouracil","S1L1",0.5235,3.87709463457412e-05,42185.1205032488,5.1388673128239,60947.95375,-48.5902197702813,-20.6163410611738,0.77410438491502,0.87423029627503,4.45140682659423
"6","6-Azauracil","S1L1",0.7,3.60178545945569e-05,23316.1166561608,5.92621052162727,91075.67825,-38.038955307758,6.95889048366841,1.15111792644175,1.30637884097867,0.905040125432413
"7","Azaserine*","S1L1",0.533,6.91363550420656e-05,53709.9413806805,7.68197815870101,52100.49725,-27.5018657356355,-163.482390151104,0.708939382672797,0.708192493065387,0.976734879867172
"8","Benzamidine","S1L1",0.5615,2.70482486035321e-05,23970.3421853506,7.1184897286287,72222.36475,50.1173852782187,18.5838156746564,0.97895150929404,0.981705343462537,1.11498291427508
"9","Blasticidin hydrochloride","S1L1",0.552,2.49697052459718e-05,23481.1777114038,7.72491189257589,73457.467,53.9506529698709,25.9850832158868,0.995868563075437,0.998493861572471,0.667528804489096
"10","Caffeine","S1L1",0.5455,2.38758325834135e-05,24537.898416566,8.06425842321101,71889.77575,55.9679824236515,28.2050811819316,0.974917594031323,0.977184522251447,0.644717341736559
"11","CCCP","S1L1",0.27,1.10713207409453e-05,132758.154059054,54.2862386145071,13620.85275,57.5690010923596,77.4218764087765,0.164368430433194,0.195375913422705,0.497740998201565
"12","Cetylpyridinium chloride","S1L1",0.533,7.3188433303087e-05,1596.09493988086,2.64404317814015,73010.08775,-34.9747436169281,-125.299888809872,0.997298450618856,0.992412717569508,17.8475802217389
"13","Chlorpromazine hydrochloride ","S1L1",0.5755,2.58021154921275e-05,23439.4497841514,7.46532406262019,75924.9155,52.4155147726412,21.8836262129189,1.03125534377187,1.03203343599036,0.642714315108251
"14","Cinnamic acid","S1L1",0.38,1.96285335477356e-05,42506.8497445537,9.84604396464375,45109.15175,24.7733576679447,44.0390632130742,0.576525616656046,0.647040379089311,0.54534850549692
"15","Compound 48/80*","S1L1",0.27,4.6479516173282e-05,6871.56063111895,89.7706939499826,8035.676,14.2820730572602,5.95523597747988,0.104183817398027,0.109227468455797,1.79624261950149
"16","Copper(II) sulfate","S1L1",0.0165,9.75901210157654e-07,19823.3306586445,210.02812734436,1063.523,98.2002345221547,96.8235112274294,0.0142459400127144,0.0144562728679596,0.377674331141816
"17","Cycloheximide","S1L1",0.4285,0.000109229587548414,4706.5649546418,1.82679835321329,36293.33475,-318.623994227544,-196.760489875884,0.470233250448172,0.520587334587936,16.9704746057642
"18","Dequalinium Chloride","S1L1",0.689,6.33422314976384e-05,15639.0845801212,5.28111491641224,98189.1775,-16.8162928302119,-48.9080578356022,1.31237326035842,1.33466746146583,3.93820605142741
"19","Diamide","S1L1",0.015,1.36255505528371e-06,-33.9743939153892,147.715962006734,1723.27425,97.4871641466998,95.6170580730823,0.0233407148132136,0.0234241504737824,0.0266004846227932
"20","DMSO control","S1L1",0.5975,3.95536374545338e-05,28887.5373835499,5.61453148269183,77865.7335,-51.5898949092533,0,1,1.11689694368742,0.763768917082223
"21","DTT","S1L1",0.0315,3.83669903878219e-06,96747.4673713016,92.0084433505626,2632.0705,92.9243263488044,91.0683741188209,0.0353249126535176,0.0357772510380188,0.525981867537909
"22","EDTA","S1L1",0.5975,2.55970300905796e-05,24047.2014424602,7.52859729235022,76884.6965,1.89900724351225,26.1642670321811,0.992256171090418,1.10282506408529,0.606584688668785
"23","ETOH control ","S1L1",0.552,3.68037374711022e-05,31941.3343267373,5.2421588561079,72208.35325,36.7866743902446,0,1,1.03950747168253,0.685007732378607
"24","Fluconazole","S1L1",0.4565,2.16956847458558e-05,25331.831835286,9.01529096564206,57217.216,16.8509704224033,39.6169445803419,0.72100201699939,0.820717031795549,0.498068969664838
"25","Guanidine hydrochloride","S1L1",0.5425,2.48737578120112e-05,25925.4904650422,7.74800650636847,68587.7485,4.67095884530847,28.2785812060275,0.884279556726774,0.983814615630016,0.6763395009618
"26","H2O control ","S1L1",0.562,3.74580822152587e-05,25836.5608325761,5.78962573913743,73837.1795,30.919479824784,0,1,1.00365522386682,0.742268495873202
"27","Hydroxyurea","S1L1",0.2315,1.05481006515108e-05,12604.7217821496,72.0645085976058,30429.90775,80.5471012723103,59.1026448961377,0.431692184334307,0.413628148879563,0.382631923690467
"28","Hygromycin B","S1L1",0.546,1.85079517216951e-05,29056.492271491,10.8238102248126,65606.848,65.8674748759118,40.6727075350789,0.892267756660672,0.891781838939779,0.7503852078256
