"","sample","count","mean","sd","y"
"1","ETOH control ",6,0.000160939270684811,3.30492294949929e-05,"S6.14"
"2","Menadione ",6,8.00202306178644e-05,4.88651406898328e-05,"S6.14"
"3","Myclobutanil",6,0.000175641911842519,8.1648488467071e-05,"S6.14"
"4","Propiconazole",6,0.000104146387922786,6.70891218469988e-05,"S6.14"
"5","H2O control ",6,0.000157575927327132,2.91378685998965e-05,"S6.14"
"6","2-Deoxy-D-glucose",6,0.000124481629748304,3.52357308330994e-05,"S6.14"
"7","3-Amino-1,2,4- triazole",6,0.000133792951011917,2.11871206000411e-05,"S6.14"
"8","4-Aminopyridine",6,0.000152395352985714,4.82502999229393e-05,"S6.14"
"9","5-Fluorocytosine",6,0.000205765235439727,8.84171771212209e-05,"S6.14"
"10","Azaserine*",6,0.000235021354075936,0.000239383922496587,"S6.14"
"11","Benzamidine",6,0.000203137351587585,0.000131428220089967,"S6.14"
"12","Blasticidin hydrochloride",6,0.000266485294394078,0.000178249611028971,"S6.14"
"13","Caffeine",6,0.000146838329529357,2.39348773679803e-05,"S6.14"
"14","Cetylpyridinium chloride",6,0.000335972300935955,0.000332478358990295,"S6.14"
"15","Chlorpromazine hydrochloride ",6,0.000192661375317317,0.000103119454788002,"S6.14"
"16","Compound 48/80*",6,0.000191196730259914,0.000366900700666868,"S6.14"
"17","Copper(II) sulfate",6,1.63000201352032e-05,8.41355717607488e-06,"S6.14"
"18","Dequalinium Chloride",6,0.000199061353000424,0.00013914786451413,"S6.14"
"19","Diamide",6,4.5662606792975e-05,3.50894003565655e-05,"S6.14"
"20","DTT",6,6.9247948499248e-05,6.27476973941322e-05,"S6.14"
"21","Hydroxyurea",6,9.19609488233201e-05,5.63343713711756e-05,"S6.14"
"22","Hygromycin B",6,0.000226170982961052,0.000148638785860443,"S6.14"
"23","methylmethane sulfonate",6,0.000211847682736575,9.75715088119368e-05,"S6.14"
"24","Pentamidine Isethionate",6,0.000221609441799178,0.000135459936627606,"S6.14"
"25","Poly-L-lysine hydrochloride",6,0.000179702098658496,6.98603575970632e-05,"S6.14"
"26","Sodium Fluoride",6,0.000101945206264186,0.000124916970366603,"S6.14"
"27","Sodium metasilicate",6,0.000133516743098539,0.00022213217583259,"S6.14"
"28","Sodium Orthovanadate",6,7.51653611514599e-05,8.57001440145619e-05,"S6.14"
"29","Sodium Selenate",6,0.00016627926618402,7.25084045808729e-05,"S6.14"
"30","Tamoxifen",6,0.000166388035653393,0.000102318092586268,"S6.14"
"31","Tartaric acid",6,0.000214109164615926,8.74503483792866e-05,"S6.14"
"32","Thialysine",6,9.00800348061876e-05,2.55552700993443e-05,"S6.14"
"33","Thiourea",6,0.000210691782662297,0.000112075311062422,"S6.14"
"34","Trifluoperazine",6,0.000143876327045776,3.16568279327581e-05,"S6.14"
"35","Urea hydrogen peroxide",6,0.000145368215011244,2.20331543707484e-05,"S6.14"
"36","DMSO control",6,0.000179304081904916,5.40687409530447e-05,"S6.14"
"37","5-Fluorouracil",6,0.000191030532797112,0.000118560806548727,"S6.14"
"38","6-Azauracil",6,0.000305931726332254,0.0001812757751472,"S6.14"
"39","CCCP",6,0.000106903643411311,9.49874414741066e-05,"S6.14"
"40","Cinnamic acid",6,0.00013615800512994,3.44624134529999e-05,"S6.14"
"41","Cycloheximide",6,0.000345315824371251,0.000276804005924363,"S6.14"
"42","EDTA",6,0.000181355836738617,8.22246392332247e-05,"S6.14"
"43","Fluconazole",6,0.000197301693369746,5.89061956070287e-05,"S6.14"
"44","Guanidine hydrochloride",6,0.000142112525574182,1.58571536785699e-05,"S6.14"
"45","Miconazole Nitrate",6,0.000266820058414828,0.000160154686467323,"S6.14"
"46","Miltefosine",6,0.000252248701068872,0.00018761783540525,"S6.14"
"47","Nystatin ",6,0.000185487174605297,0.00015676715162048,"S6.14"
"48","Triclosan",6,0.00036630280193904,0.000258052670745069,"S6.14"
"49","ETOH control ",6,0.00019047426148599,5.34469599999192e-05,"S6.45"
"50","Menadione ",6,0.000133612363680937,7.71856465874532e-05,"S6.45"
"51","Myclobutanil",6,0.000126851516061269,4.8774198341491e-05,"S6.45"
"52","Propiconazole",6,0.00013716843421182,6.96445764437285e-05,"S6.45"
"53","H2O control ",6,0.000228281502421795,5.79377904946312e-05,"S6.45"
"54","2-Deoxy-D-glucose",6,0.000213075451221197,7.23861550501154e-06,"S6.45"
"55","3-Amino-1,2,4- triazole",6,0.000241592325885182,3.22298726605022e-05,"S6.45"
"56","4-Aminopyridine",6,0.000239064536556702,7.52938947943442e-05,"S6.45"
"57","5-Fluorocytosine",6,0.000240126786951226,3.56763676301158e-05,"S6.45"
"58","Azaserine*",6,0.000197568154391842,5.4456264417597e-05,"S6.45"
"59","Benzamidine",6,0.000202849355255549,4.60657417355247e-05,"S6.45"
"60","Blasticidin hydrochloride",6,0.000223347655516175,3.34545064129529e-05,"S6.45"
"61","Caffeine",6,0.000209995893206083,4.15021042529591e-05,"S6.45"
"62","Cetylpyridinium chloride",6,0.000220588795084174,8.55761175237481e-05,"S6.45"
"63","Chlorpromazine hydrochloride ",6,0.000216300371623428,2.02314175062247e-05,"S6.45"
"64","Compound 48/80*",6,0.000166682529673502,8.54710914767076e-05,"S6.45"
"65","Copper(II) sulfate",6,0.000104606432265212,5.81422220853768e-05,"S6.45"
"66","Dequalinium Chloride",6,0.000213647713221894,3.03470070569055e-05,"S6.45"
"67","Diamide",6,0.00013193320464703,6.77638777015799e-05,"S6.45"
"68","DTT",6,0.000148319140207062,9.76121052901237e-05,"S6.45"
"69","Hydroxyurea",6,0.000164006681287966,6.26713744997152e-05,"S6.45"
"70","Hygromycin B",6,0.000222864915420762,4.81485009613097e-05,"S6.45"
"71","methylmethane sulfonate",6,0.00021456296117452,2.60977815825595e-05,"S6.45"
"72","Pentamidine Isethionate",6,0.000225533124405309,4.710904484111e-05,"S6.45"
"73","Poly-L-lysine hydrochloride",6,0.000205910264177111,2.18873792814558e-05,"S6.45"
"74","Sodium Fluoride",6,0.000265576030706766,8.78617310210155e-05,"S6.45"
"75","Sodium metasilicate",6,0.000197658949850425,6.9649453915261e-05,"S6.45"
"76","Sodium Orthovanadate",6,0.000169312118100625,0.000101801484657672,"S6.45"
"77","Sodium Selenate",6,0.000210659264959813,6.40177528280098e-05,"S6.45"
"78","Tamoxifen",6,0.000262933287173252,0.000123556327100099,"S6.45"
"79","Tartaric acid",6,0.000230300562552434,2.09134815140862e-05,"S6.45"
"80","Thialysine",6,0.000178471922825548,5.34703773688599e-05,"S6.45"
"81","Thiourea",6,0.000201635550209874,3.21205247996409e-05,"S6.45"
"82","Trifluoperazine",6,0.000194615897883719,3.9882186311118e-05,"S6.45"
"83","Urea hydrogen peroxide",6,0.000206849318428568,3.15737914655016e-05,"S6.45"
"84","DMSO control",6,0.000228640954957482,0.000151705618762243,"S6.45"
"85","5-Fluorouracil",6,0.000180803005117107,0.000125805490085115,"S6.45"
"86","6-Azauracil",6,0.000393316297880805,0.000266352771858223,"S6.45"
"87","CCCP",6,0.000320672047200025,0.000194775821115562,"S6.45"
"88","Cinnamic acid",6,0.000336720621930873,0.000252623404328414,"S6.45"
"89","Cycloheximide",6,0.000340261183529926,0.000289821049030113,"S6.45"
"90","EDTA",6,0.000214322097500867,9.04981000654576e-06,"S6.45"
"91","Fluconazole",6,0.000189876792880794,7.95167914269456e-05,"S6.45"
"92","Guanidine hydrochloride",6,0.000191417407976008,3.62082900561209e-05,"S6.45"
"93","Miconazole Nitrate",6,0.000216223978196033,7.72600550108059e-05,"S6.45"
"94","Miltefosine",6,0.000304612234906282,0.00016522951197306,"S6.45"
"95","Nystatin ",6,0.000110119888730281,0.000111256420256667,"S6.45"
"96","Triclosan",6,0.00035137195027824,0.000218861440612566,"S6.45"
"97","ETOH control ",6,0.000180220428714202,3.42494762997607e-05,"S6.113"
"98","Menadione ",6,0.000115820047062571,8.64029820892103e-05,"S6.113"
"99","Myclobutanil",6,7.35019591176391e-05,2.52517778067602e-05,"S6.113"
"100","Propiconazole",6,6.35556159194659e-05,2.58099160619373e-05,"S6.113"
"101","H2O control ",6,0.000161113914600935,2.33786937688068e-05,"S6.113"
"102","2-Deoxy-D-glucose",6,0.000136291676466097,1.58128766147239e-05,"S6.113"
"103","3-Amino-1,2,4- triazole",6,0.000129442056959295,1.19172153945356e-05,"S6.113"
"104","4-Aminopyridine",6,0.000107918970584591,2.05363562684678e-05,"S6.113"
"105","5-Fluorocytosine",6,0.000145403518368245,3.48112313144482e-05,"S6.113"
"106","Azaserine*",6,0.000137220457243088,3.91460680622524e-05,"S6.113"
"107","Benzamidine",6,0.000143416565050265,6.01312949124159e-06,"S6.113"
"108","Blasticidin hydrochloride",6,0.000128718419047313,1.72608751537515e-05,"S6.113"
