"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"1","2-Deoxy-D-glucose",5219.712,0.047,4.86257018775088e-06,41356.2498533113,40.0563567905411,0.961763134444511,0.484011360729938,0.0501591969703711,0.127962373361865,1.6536061700816e-05,11491.0205,0.295154519795467,0.456155599710426,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"2","3-Amino-1,2,4- triazole",4951.03825,0.07,1.09809159771803e-05,44920.9378929933,18.7878250899363,0.912460670907652,1.12401636451979,0.0475773572928145,0.288971473083693,3.30990467459761e-05,18079.683,0.332072562557966,0.274151595796722,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"3","4-Aminopyridine",4842.0215,0.0165,9.42944399007173e-07,57.1800291303193,223.266012829994,0.893438876099981,0.0925105075094563,0.046529753011904,0.0248143262896625,6.70953855069161e-06,7442.576,0.140228261233572,0.650612088582452,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"4","5-Fluorocytosine",6309.0365,0.1205,1.1568360950648e-05,41358.6182215998,16.8356747211319,1.16752070934209,1.17060683880456,0.0606271389104917,0.304430551332842,7.37153708211388e-05,20722.7665,0.156678026742491,0.303753766221587,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"5","5-Fluorouracil",10669.98975,0.1625,1.34557720631709e-05,777.279706976129,174.652567260796,0.819300253713016,0.927382298319484,0.102534032058108,0.354099264820288,1.79619080596652e-06,5154.8785,7.29451113754065,2.09747879802866,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"6","6-Azauracil",15243.8925,0.3175,2.13545893976316e-05,6389.24035666854,9.54737218907429,1.15946135611919,1.40649262014994,0.146487278704776,0.561962878885043,2.64753454848933e-05,12048.98475,0.806275351148932,1.26645646035798,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"7","Azaserine*",5146.72275,0.037,1.5966776515727e-06,27579.1584788896,121.13919058,0.949040517853176,0.161083214935303,0.0494578015356288,0.0420178329361238,4.36934608762775e-05,14314.88075,0.0368121342659826,0.359716422477881,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"8","Benzamidine",5210.37925,0.0755,9.40343595190322e-06,43563.3392045024,20.6010758808708,0.9604459162649,0.93811408021812,0.0500695132396355,0.247458840839558,3.24195550867626e-05,18832.7485,0.289949000451892,0.276675982735292,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"9","Blasticidin hydrochloride",5367.143,0.082,9.44365049484433e-06,42900.3178497139,20.5151294063566,0.989403260810219,0.942085833347488,0.0515759457428204,0.248517118285377,5.25655578030204e-05,20315.72575,0.180301016993059,0.264177012546199,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
"10","Caffeine",5333.2155,0.0705,7.63375468903116e-06,42371.0848037056,25.2271341595993,0.98400758899856,0.765351416100797,0.051249916997324,0.200888281290294,5.374798945853e-05,20166.36775,0.154104727287655,0.264576896133003,"case","SR1_results_DRUGPLATES_2019-07-02","S2L1"
