"","well","sample","solvent","control","control2","auc","run","plate","A","mu","lambda"
"1","A01","H2O control ","H2O","H2O","H2O",30067.802,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.004,4.60595237240719e-05,15271.82216431
"2","A02","Cetylpyridinium chloride","H2O","case","case",26507.288,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.929,3.76183995928853e-05,18596.6239210114
"3","A03","Tamoxifen","H2O","case","case",23989.5655,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.948,4.02078474279655e-05,24515.3249953851
"4","A04","Sodium Fluoride","H2O","case","case",10713.646,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.274,7.47673708783557e-06,12892.6199243544
"5","A05","5-Fluorocytosine","H2O","case","case",31105.4755,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.032,8.062927402706e-05,17602.3888220973
"6","A06","Azaserine*","H2O","case","case",16039.9775,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.578,1.73076111527936e-05,16541.1171058968
"7","A07","H2O control ","H2O-2","H2O-2","H2O",28808.527,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.974,8.4116567228531e-05,18343.7328821513
"8","A08","Cetylpyridinium chloride","H2O-2","case-2","case",26481.232,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.929,4.45728657979311e-05,21510.7221433335
"9","A09","Tamoxifen","H2O-2","case-2","case",12663.7635,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.257,1.14987195304757e-05,4786.79113465364
"10","A10","Sodium Fluoride","H2O-2","case-2","case",31706.87,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.139,3.96090941409079e-05,10468.3352448669
"11","A11","5-Fluorocytosine","H2O-2","case-2","case",31140.046,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.012,3.73502804858707e-05,12590.2158172815
"12","A12","Azaserine*","H2O-2","case-2","case",22958.1595,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.89,2.90827128073172e-05,19160.1788537277
"13","B01","DMSO control","DMSO","DMSO","DMSO",29236.8595,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.954,3.9135498312102e-05,905.014535679258
"14","B02","Compound 48/80*","H2O","case","case",11089.528,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.241,6.82970948515825e-06,7217.40480299529
"15","B03","EDTA","DMSO","case","case",29630.7245,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.983,4.86686905999332e-05,15432.5902458444
"16","B04","Tartaric acid","H2O","case","case",30853.3355,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.032,0.000108571110936802,18680.5174235337
"17","B05","6-Azauracil","DMSO","case","case",19149.848,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.858,4.15998491348786e-05,27597.4376681808
"18","B06","DTT","H2O","case","case",7246.288,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.087,3.88766418044057e-06,8494.15001147201
"19","B07","DMSO control","DMSO-2","DMSO-2","DMSO",28590.7225,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.934,3.64953354442701e-05,15914.9591722552
"20","B08","Compound 48/80*","H2O-2","case-2","case",6935.6415,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.068,3.98346077999583e-06,1425.50608905615
"21","B09","EDTA","DMSO-2","case-2","case",28396.781,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.958,4.58352771212087e-05,15982.0615273142
"22","B10","Tartaric acid","H2O-2","case-2","case",31642.704,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.012,4.13590805214153e-05,12677.2457780741
"23","B11","6-Azauracil","DMSO-2","case-2","case",23541.697,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.959,4.60973056593586e-05,24874.8901606442
"24","B12","DTT","H2O-2","case-2","case",13363.5225,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.314,1.22120682455112e-05,5956.77912802051
"25","C01","ETOH control ","ETOH","ETOH","ETOH",25304.6485,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.972,1.98371347581607e-05,16376.4863680027
"26","C02","Caffeine","H2O","case","case",27999.8065,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.998,3.39098826583129e-05,16323.3431656497
"27","C03","Chlorpromazine hydrochloride ","H2O","case","case",30472.237,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.052,7.758676231415e-05,18227.1361155307
"28","C04","Sodium Orthovanadate","H2O","case","case",13216.605,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.364,9.60293021229309e-06,8239.20994858852
"29","C05","Blasticidin hydrochloride","H2O","case","case",28780.251,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.013,8.11310014246495e-05,18687.8668365942
"30","C06","Diamide","H2O","case","case",8954.172,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.167,6.99762675389576e-06,27769.7659894797
"31","C07","ETOH control ","ETOH-2","ETOH-2","ETOH",26789.543,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.016,4.63293356191856e-05,18194.6184878761
"32","C08","Caffeine","H2O-2","case-2","case",25680.446,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.906,4.04517564553538e-05,17121.9301929377
"33","C09","Chlorpromazine hydrochloride ","H2O-2","case-2","case",28588.372,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.989,3.94111392719411e-05,15630.3511232199
"34","C10","Sodium Orthovanadate","H2O-2","case-2","case",18648.0235,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.567,1.62423025672131e-05,9899.0159242832
"35","C11","Blasticidin hydrochloride","H2O-2","case-2","case",31254.0355,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.059,3.70250808010623e-05,13320.2884187878
"36","C12","Diamide","H2O-2","case-2","case",16674.933,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.707,3.41660264460993e-05,30880.4039963112
"37","D01","Nystatin ","DMSO","case","case",11054.019,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.158,2.39552209082378e-05,1096.47330788335
"38","D02","Triclosan","DMSO","case","case",27735.8805,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.971,3.83655105040074e-05,18556.636548617
"39","D03","Menadione ","ETOH","case","case",9818.975,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.2,5.52382236176815e-06,7599.34316283253
"40","D04","Trifluoperazine","H2O","case","case",30548.1465,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.047,3.70587725876661e-05,14515.2281914252
"41","D05","3-Amino-1,2,4- triazole","H2O","case","case",26566.986,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.067,5.82530393965595e-05,24830.9818137316
"42","D06","Sodium Selenate","H2O","case","case",23003.6915,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.863,3.75089788241832e-05,16627.885898593
"43","D07","Nystatin ","DMSO-2","case-2","case",5448.757,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.022,6.81857760292207e-07,6103.18466086749
"44","D08","Triclosan","DMSO-2","case-2","case",26486.3335,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.936,3.74577183667793e-05,19657.2370650419
"45","D09","Menadione ","ETOH-2","case-2","case",7367.0315,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.106,4.1577126525386e-06,9694.15690344275
"46","D10","Trifluoperazine","H2O-2","case-2","case",29547.31,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.015,3.71928353597935e-05,14917.614606347
"47","D11","3-Amino-1,2,4- triazole","H2O-2","case-2","case",30703.489,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.113,4.86870553782306e-05,16051.142069368
"48","D12","Sodium Selenate","H2O-2","case-2","case",26595.964,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.933,5.95349743706713e-05,17050.4758599686
"49","E01","Myclobutanil","ETOH","case","case",12765.098,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.381,1.03223750379699e-05,13097.9532643775
"50","E02","Miltefosine","DMSO","case","case",26663.42,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.96,4.00536049853469e-05,20034.3613744055
"51","E03","Poly-L-lysine hydrochloride","H2O","case","case",29269.1475,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.025,5.88553344441827e-05,17659.1956182551
"52","E04","Pentamidine Isethionate","H2O","case","case",29693.9905,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.016,8.94868658551631e-05,18613.3988541967
"53","E05","Thialysine","H2O","case","case",14906.566,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.61,2.74839370413847e-05,29331.8470191781
"54","E06","Urea hydrogen peroxide","H2O","case","case",25913.2065,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.88,4.89075202475412e-05,17426.1818113635
"55","E07","Myclobutanil","ETOH-2","case-2","case",12859.468,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.349,9.45778803496088e-06,10195.1064839813
"56","E08","Miltefosine","DMSO-2","case-2","case",20681.24,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.939,4.33452983386168e-05,27735.8613777006
"57","E09","Poly-L-lysine hydrochloride","H2O-2","case-2","case",29686.109,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.045,4.61645039348735e-05,16369.5688473452
"58","E10","Pentamidine Isethionate","H2O-2","case-2","case",29504.908,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.005,4.17694450260666e-05,15591.1179944996
"59","E11","Thialysine","H2O-2","case-2","case",20108.1495,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.898,3.33696454451823e-05,24287.3294112119
"60","E12","Urea hydrogen peroxide","H2O-2","case-2","case",31209.7605,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.086,6.30052149676085e-05,17450.5121466803
"61","F01","Fluconazole","DMSO","case","case",18523.191,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.599,1.60141741712029e-05,10456.1104972392
"62","F02","Cinnamic acid","DMSO","case","case",20982.5825,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.397,6.24295695096961e-05,550.566786884979
"63","F03","CCCP","DMSO","case","case",18949.06,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.326,5.78174025379369e-05,623.675049208769
"64","F04","methylmethane sulfonate","H2O","case","case",30663.704,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.056,5.21836430734913e-05,16545.9649174023
"65","F05","Hygromycin B","H2O","case","case",29143.8055,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.05,3.61467528111975e-05,11432.3227021219
"66","F06","Thiourea","H2O","case","case",29227.4395,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.021,3.58315915508024e-05,15468.5333387324
"67","F07","Fluconazole","DMSO-2","case-2","case",29060.877,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.738,5.41984977141002e-05,344.592239625733
"68","F08","Cinnamic acid","DMSO-2","case-2","case",20876.89,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.398,5.8397682269844e-05,266.347076350652
"69","F09","CCCP","DMSO-2","case-2","case",19250.586,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.337,5.93287571025754e-05,614.750580866707
