"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"1","S1L1","A01","Result_96_2020-01-13_mitacs_control",3.14684138832927,0.000147056814896811,15804.4766069175,"H2O","H2O","S6.14"
"2","S1L1","A07","Result_96_2020-01-13_mitacs_control",3.28772662831899,0.000157335224227988,16605.5338821294,"H2O","H2O","S6.14"
"3","S1L1","G10","Result_96_2020-01-13_mitacs_control",3.25225993423962,0.000152152242931687,15819.370530531,"H2O","case","S6.14"
"4","S1L1","B09","Result_96_2020-01-13_mitacs_control",3.04439411935845,0.000139582150560213,20041.9340528554,"DMSO","case","S6.14"
"5","S1L1","C04","Result_96_2020-01-13_mitacs_control",3.23969527974649,0.00015379740586079,15674.6680581546,"H2O","case","S6.14"
"6","S1L1","D06","Result_96_2020-01-13_mitacs_control",3.25964381663302,0.000197339553616244,18269.9288936332,"H2O","case","S6.14"
"7","S1L1","A02","Result_96_2020-01-13_mitacs_control",3.15488560197817,0.000146061110684946,15559.1458162482,"H2O","case","S6.14"
"8","S1L1","C05","Result_96_2020-01-13_mitacs_control",3.24241472476826,0.000178154951267784,17169.1407937307,"H2O","case","S6.14"
"9","S1L1","G11","Result_96_2020-01-13_mitacs_control",3.11182204687874,0.00015454815756084,19535.1200839703,"DMSO","case","S6.14"
"10","S1L1","B10","Result_96_2020-01-13_mitacs_control",3.31726754711944,0.000157825676202306,16343.1762954143,"H2O","case","S6.14"
"11","S1L1","D07","Result_96_2020-01-13_mitacs_control",3.10342958965541,0.000173070143552116,20618.0003342283,"DMSO","case","S6.14"
"12","S1L1","F03","Result_96_2020-01-13_mitacs_control",3.14653518116673,0.000156344677499118,19434.7835127306,"DMSO","case","S6.14"
"13","S1L1","A03","Result_96_2020-01-13_mitacs_control",3.3199771885172,0.000146049014860499,15254.2533240215,"H2O","case","S6.14"
"14","S1L1","C06","Result_96_2020-01-13_mitacs_control",3.28856949794093,0.000166013758789513,16665.8656422231,"H2O","case","S6.14"
"15","S1L1","C08","Result_96_2020-01-13_mitacs_control",3.27949282856697,0.000164690396033065,16791.8170247639,"H2O","case","S6.14"
"16","S1L1","H06","Result_96_2020-01-13_mitacs_control",3.23644019582208,0.00012804514816565,14770.8505692417,"H2O","case","S6.14"
"17","S1L1","B11","Result_96_2020-01-13_mitacs_control",3.04875931191986,0.000144922529519419,18938.4332026789,"DMSO","case","S6.14"
"18","S1L1","A10","Result_96_2020-01-13_mitacs_control",3.66456697008296,0.000158651446545309,17174.040558243,"H2O","case","S6.14"
"19","S1L1","D08","Result_96_2020-01-13_mitacs_control",3.17431009612803,0.000168147602656502,20586.7263487274,"DMSO","case","S6.14"
"20","S1L1","A04","Result_96_2020-01-13_mitacs_control",3.62074707586113,0.000144171567301179,14941.9678458476,"H2O","case","S6.14"
"21","S1L1","C07","Result_96_2020-01-13_mitacs_control",3.66522984056729,0.000209181912220139,21309.9968035908,"ETOH","ETOH","S6.14"
"22","S1L1","H01","Result_96_2020-01-13_mitacs_control",3.07559761889416,0.00014945339350391,19469.5710854097,"DMSO","case","S6.14"
"23","S1L1","C03","Result_96_2020-01-13_mitacs_control",3.22856218857665,0.000153035232796772,15565.0304316809,"H2O","case","S6.14"
"24","S1L1","D09","Result_96_2020-01-13_mitacs_control",3.70992077115198,0.000206754236297668,20361.8348153025,"ETOH","case","S6.14"
"25","S1L1","G06","Result_96_2020-01-13_mitacs_control",3.35908109330483,0.000189119846234922,17707.269303168,"H2O","case","S6.14"
"26","S1L1","A05","Result_96_2020-01-13_mitacs_control",3.52863889399154,0.00013630672454542,14771.2435467681,"H2O","case","S6.14"
"27","S1L1","F05","Result_96_2020-01-13_mitacs_control",3.14916644127551,0.000194855917356765,17953.9770654066,"H2O","case","S6.14"
"28","S1L1","D05","Result_96_2020-01-13_mitacs_control",3.20076240536491,0.000187465188863697,17820.2670855085,"H2O","case","S6.14"
"29","S1L1","C01","Result_96_2020-01-13_mitacs_control",3.17443342711406,0.000215148937327728,20851.8712344582,"ETOH","ETOH","S6.14"
"30","S1L1","E04","Result_96_2020-01-13_mitacs_control",3.26261689894595,0.000213456331022677,18356.8919411926,"H2O","case","S6.14"
"31","S1L1","D10","Result_96_2020-01-13_mitacs_control",3.24792751344359,0.000158120278006712,16131.773905974,"H2O","case","S6.14"
"32","S1L1","A06","Result_96_2020-01-13_mitacs_control",3.46660030439776,0.000153237136241132,16005.6096123549,"H2O","case","S6.14"
"33","S1L1","F06","Result_96_2020-01-13_mitacs_control",3.29733610670497,0.000199293264799886,18417.5418659875,"H2O","case","S6.14"
"34","S1L1","H03","Result_96_2020-01-13_mitacs_control",3.29197487278573,0.000147342430058611,15417.0236216617,"H2O","case","S6.14"
"35","S1L1","C02","Result_96_2020-01-13_mitacs_control",3.22667977973955,0.000148826598568956,14844.9683589073,"H2O","case","S6.14"
"36","S1L1","E08","Result_96_2020-01-13_mitacs_control",3.18304050123257,0.000169383286401026,18448.5731953941,"DMSO","case","S6.14"
