run,plate,well,A,mu,lambda
2020-02-24_drug_run_5,S1L1,A01,3.9237644141729144,1.4525022555160282e-4,10237.811092123253
2020-02-24_drug_run_5,S1L1,A02,3.8252176559181144,1.406030419676358e-4,13865.102699153507
2020-02-24_drug_run_5,S1L1,A03,3.8294344555285225,1.270716725947897e-4,14399.091336425627
2020-02-24_drug_run_5,S1L1,A04,3.3843068800390492,4.043725188127098e-5,7410.098010179279
2020-02-24_drug_run_5,S1L1,A05,3.4039992278263957,1.570599834137588e-4,13359.272262661283
2020-02-24_drug_run_5,S1L1,A06,3.8048082399472576,1.304652353434196e-4,15049.504740128057
2020-02-24_drug_run_5,S1L1,A07,3.8803123621976092,3.035605761234041e-4,25246.459424597495
2020-02-24_drug_run_5,S1L1,A08,3.7858751946471525,1.415972479848028e-4,13696.974320858162
2020-02-24_drug_run_5,S1L1,A09,3.868355994189529,1.4386106258411095e-4,12677.175018762375
2020-02-24_drug_run_5,S1L1,A10,1.921525941976915,5.2996353906412624e-5,15755.175918089844
2020-02-24_drug_run_5,S1L1,A11,3.7798514070193825,5.221511549891923e-4,27910.394018440362
2020-02-24_drug_run_5,S1L1,A12,3.57580250143568,1.4949059103719345e-4,15161.223673544024
2020-02-24_drug_run_5,S1L1,B01,3.918432217491209,1.4617965861258997e-4,13510.684580067144
2020-02-24_drug_run_5,S1L1,B02,0.5129512558057683,7.738136210390015e-5,3051.984951154139
2020-02-24_drug_run_5,S1L1,B03,3.409785600355972,1.419093569619406e-4,10623.765711624894
2020-02-24_drug_run_5,S1L1,B04,3.9127433218539562,1.5514077918461522e-4,11468.091014857346
2020-02-24_drug_run_5,S1L1,B05,3.9370687442735433,1.3524324019981886e-4,13860.444225781821
2020-02-24_drug_run_5,S1L1,B06,1.736965594166206,8.932073865942966e-5,103869.56220652227
2020-02-24_drug_run_5,S1L1,B07,4.057862824385993,1.5682213949579822e-4,12812.473400767622
2020-02-24_drug_run_5,S1L1,B08,0.5343364276511882,8.217725731092856e-5,2843.16756022627
2020-02-24_drug_run_5,S1L1,B09,4.122228259411016,1.5748253516935278e-4,12823.271491016225
2020-02-24_drug_run_5,S1L1,B10,3.970722207477754,2.870849734930755e-4,19357.777360914886
2020-02-24_drug_run_5,S1L1,B11,3.859777999770399,1.2843129301533295e-4,16247.378431138763
2020-02-24_drug_run_5,S1L1,B12,1.1330254186307833,8.588570151792565e-5,157448.2551224389
2020-02-24_drug_run_5,S1L1,C01,3.9570662039946645,1.626852431641774e-4,13957.823596760847
2020-02-24_drug_run_5,S1L1,C02,3.9355733503126036,1.5891102672728634e-4,12328.939257504102
2020-02-24_drug_run_5,S1L1,C03,3.9321613777938844,5.457976134356788e-4,24558.334300070186
2020-02-24_drug_run_5,S1L1,C04,0.22986754189859465,1.2117496313623333e-5,2981.566991393594
2020-02-24_drug_run_5,S1L1,C05,3.9068905956085187,1.5600018738128198e-4,11619.954680803192
2020-02-24_drug_run_5,S1L1,C06,3.924168587040354,1.3021965469146027e-4,12617.277812462376
2020-02-24_drug_run_5,S1L1,C07,2.963474123974886,1.8852742903720628e-4,18311.57306053012
2020-02-24_drug_run_5,S1L1,C08,3.9934670301607667,1.6177962872278263e-4,11740.642571804778
2020-02-24_drug_run_5,S1L1,C09,3.9374789154419414,1.5689697256455286e-4,11378.81361564411
2020-02-24_drug_run_5,S1L1,C10,0.45663840374561676,2.523374831316949e-5,677.0732217353905
2020-02-24_drug_run_5,S1L1,C11,3.920729503073583,1.5809093509607325e-4,12222.051060395213
2020-02-24_drug_run_5,S1L1,C12,3.884016129355932,1.4421581404605916e-4,10261.579303192584
2020-02-24_drug_run_5,S1L1,D01,0.05950101174866196,1.703926780265704e-5,944.002027534721
2020-02-24_drug_run_5,S1L1,D02,3.85433628992792,1.45171467254632e-4,14601.923609506643
2020-02-24_drug_run_5,S1L1,D03,0.6089793818396916,3.4750575227894035e-5,3086.8363808822833
2020-02-24_drug_run_5,S1L1,D04,3.9125371587496605,1.4344412747497887e-4,10928.109301328217
2020-02-24_drug_run_5,S1L1,D05,3.764748750679744,1.5084613569920797e-4,12969.955237304
2020-02-24_drug_run_5,S1L1,D06,3.8579809951275723,1.5389115133975875e-4,11748.638348659431
2020-02-24_drug_run_5,S1L1,D07,0.6875322343617039,7.179737171201085e-5,1382.305313349069
2020-02-24_drug_run_5,S1L1,D08,3.862711147039969,1.4245061929298595e-4,14183.548223303847
2020-02-24_drug_run_5,S1L1,D09,0.2612972652977364,1.4618464542335546e-5,0.13762501149999748
2020-02-24_drug_run_5,S1L1,D10,3.875231440280451,1.4151449955613908e-4,10873.36828949282
2020-02-24_drug_run_5,S1L1,D11,4.372918132566137,4.080471628595288e-4,29995.61759548999
2020-02-24_drug_run_5,S1L1,D12,3.9266937452115864,1.644382094541337e-4,12119.179800732367
2020-02-24_drug_run_5,S1L1,E01,3.5428476268249347,8.127832131895823e-5,9630.42583580441
2020-02-24_drug_run_5,S1L1,E02,3.9000042100232784,1.3546829415393694e-4,24169.97518945016
2020-02-24_drug_run_5,S1L1,E03,3.951390055775378,1.5548520340023764e-4,11298.713548418267
2020-02-24_drug_run_5,S1L1,E04,3.795034650421736,1.5817290229185822e-4,12163.809367613443
2020-02-24_drug_run_5,S1L1,E05,3.760091096771008,1.1621697095710073e-4,13432.674094014423
2020-02-24_drug_run_5,S1L1,E06,3.905731338783678,1.5277251606516138e-4,11562.289850524949
2020-02-24_drug_run_5,S1L1,E07,3.4405725913859815,1.7412021802252074e-4,44540.74766159268
2020-02-24_drug_run_5,S1L1,E08,3.8863779982828057,1.2687557591461654e-4,22370.846888999087
2020-02-24_drug_run_5,S1L1,E09,3.824228740622,4.7737062821481813e-4,24859.7860243332
2020-02-24_drug_run_5,S1L1,E10,4.0632999031050785,3.948933880880974e-4,23437.25967714472
2020-02-24_drug_run_5,S1L1,E11,3.862170529408097,9.667998532934679e-5,14406.597164116349
2020-02-24_drug_run_5,S1L1,E12,3.7535836656166235,1.6619107420854466e-4,12431.92744288867
2020-02-24_drug_run_5,S1L1,F01,3.6319878355470436,1.126824195119248e-4,13588.70707041417
