"","sample","well","solvent","control","control2","plate","auc","rel_fit_off_plate","rel_fit_on_plate","rel_fit_to_by","run","A","mu","lambda","percent_inhib_off_plate","percent_inhib_onplate","DT"
"1","2-Deoxy-D-glucose","H03","H2O",1,"case","S1L1",53540.2735,0.727763107277593,0.690353481806239,0.826964507363549,"SAM-MIATCS3ISH",0.438,1.46928464607908e-05,29856.7708411471,72.903325094616,70.616536820978,13.1043963470718
"2","2-Deoxy-D-glucose","H03","H2O",1,"case","S1L2",125731.7295,1.60963661836193,0.975818240337684,1.94200871510181,"SAM-MIATCS3ISH",0.959,4.35401749539501e-05,22114.7553308529,2.34129574897138,4.63792954954402,4.42214308262456
"3","2-Deoxy-D-glucose","H03","H2O",1,"case","S2L1",72727.9485,0.901791729243562,0.707879557295424,1.12333068494437,"SAM-MIATCS3ISH",0.539,2.55889080447992e-05,24311.258209177,63.98275588071,30.924925702455,7.52438842453875
"4","2-Deoxy-D-glucose","H03","H2O",1,"case","S2L2",57663.436,1.18019231751839,0.531614929776548,0.890649446245909,"SAM-MIATCS3ISH",0.775,1.10505308888807e-05,59960.9259176423,58.557163265641,49.322394121876,17.4236772355084
"5","2-Deoxy-D-glucose","H03","H2O",1,"case","S3L1",74940.4525,1.28616498473056,0.682578135790814,1.15750425487206,"SAM-MIATCS3ISH",0.548,2.83552217051653e-05,25305.7294673242,29.3099749275704,68.6225808587331,6.79031486654888
"6","2-Deoxy-D-glucose","H03","H2O",1,"case","S3L2",9495.5115,0.0999898491287369,0.145432443893497,0.146664379474311,"SAM-MIATCS3ISH",0.171,7.36620864785552e-06,141462.068677019,89.4267285502494,62.8952252447482,26.1383966560501
"7","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S1L1",50991.1785,0.693113726976131,0.727204064610253,0.706595662395536,"SAM-MIATCS3ISH",0.468,1.97593545620144e-05,47971.8989747384,63.5596269017091,20.6845659816408,9.74429012266508
"8","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S1L2",133400.0125,1.70780713717884,1.04016444530499,1.84855249415368,"SAM-MIATCS3ISH",1.022,4.84190965723683e-05,20137.1820783374,-8.60191161987778,-34.2039251790421,3.97654845131399
"9","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S2L1",74925.58,0.929041307314984,0.880903233855095,1.0382597811594,"SAM-MIATCS3ISH",0.656,2.44394007541793e-05,24075.1017650562,65.6007258476456,46.1975095389662,7.87829805753106
"10","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S2L2",38122.708,0.78025400887656,0.329688578849126,0.528274515396258,"SAM-MIATCS3ISH",0.324,8.34778200030162e-06,14527.316163666,68.693289941334,58.3368683594149,23.0649151453544
"11","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S3L1",100418.281,1.72342803573323,0.679682700382141,1.39151758925941,"SAM-MIATCS3ISH",0.95,2.18261953119147e-05,26525.6444510494,45.5869430372348,54.9540993647378,8.82155046893433
"12","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S3L2",11729.946,0.123518941641873,0.176548914746342,0.162544369586082,"SAM-MIATCS3ISH",0.124,8.15630809025771e-06,110824.991339587,88.2926395940199,61.2600201547501,23.6063769732845
"13","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S1L1",70652.574,0.960367466023498,0.911001144950687,0.750264813123118,"SAM-MIATCS3ISH",0.527,2.85678653156895e-05,24664.2011075116,47.3148949547814,42.8686047426619,6.73977146563801
"14","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S1L2",155321.9965,1.98845569211297,1.20547166505306,1.64937555817828,"SAM-MIATCS3ISH",1.213,3.45691920197637e-05,18096.8499556389,22.4628173123856,24.2862545157282,5.56972472422252
"15","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S2L1",72878.896,0.903663405949114,0.709348767573985,0.773906288085968,"SAM-MIATCS3ISH",0.54,3.57494412856604e-05,29748.1603647604,49.6814654357417,3.49743300575881,5.38584315067617
"16","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S2L2",111422.5125,2.28047446307391,1.02723450538421,1.1832037502062,"SAM-MIATCS3ISH",1.09,2.55441022533075e-05,41904.4454276911,4.20188225754823,-17.1449552533429,7.53758662487122
"17","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S3L1",81034.2945,1.39075050485243,0.738082515246806,0.860509056890216,"SAM-MIATCS3ISH",0.6,3.68700463139615e-05,25704.4518222894,8.08237983620531,59.2002168425879,5.22214921699094
"18","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S3L2",30695.3435,0.32322879768191,0.470127261849492,0.325956081299705,"SAM-MIATCS3ISH",0.253,4.9412206697167e-05,1062.72514747778,29.074955745052,-148.897212569737,3.89662588171584
"19","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S1L1",67676.2555,0.919910915128072,0.965156121606445,0.913972729409905,"SAM-MIATCS3ISH",0.507,2.53701408825183e-05,27888.8564822407,53.2121660951196,-1.83752353289013,7.58927135566468
"20","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S1L2",101023.866,1.29332281269613,0.78771681929532,1.36433462314653,"SAM-MIATCS3ISH",0.852,3.64741193513206e-05,23082.3279474448,18.1901487921288,-1.09585537350849,5.27883570359328
