"","strain","sample","p_adj","sig","plate"
"1","S6.113","H2O control ",0.0538439361272369,0,"S2L1"
"2","S6.113","2-Deoxy-D-glucose",0.00739768251541928,1,"S2L1"
"3","S6.113","3-Amino-1,2,4- triazole",0.0408786947375929,1,"S2L1"
"4","S6.113","4-Aminopyridine",0.00739768251541928,1,"S2L1"
"5","S6.113","5-Fluorocytosine",0.0251484995430038,1,"S2L1"
"6","S6.113","Azaserine*",0.00820017916867673,1,"S2L1"
"7","S6.113","Benzamidine",0.032555809830732,1,"S2L1"
"8","S6.113","Blasticidin hydrochloride",0.0352383287395577,1,"S2L1"
"9","S6.113","Caffeine",0.0282804030016588,1,"S2L1"
"10","S6.113","Cetylpyridinium chloride",0.385679882562406,0,"S2L1"
"11","S6.113","Chlorpromazine hydrochloride ",0.042653204250746,1,"S2L1"
"12","S6.113","Compound 48/80*",1.94535653060231e-05,1,"S2L1"
"13","S6.113","Copper(II) sulfate",4.47799881615195e-06,1,"S2L1"
"14","S6.113","Dequalinium Chloride",0.0251484995430038,1,"S2L1"
"15","S6.113","Diamide",0.000601834471660869,1,"S2L1"
"16","S6.113","DTT",9.96852165479577e-06,1,"S2L1"
"17","S6.113","Hydroxyurea",0.00739768251541928,1,"S2L1"
"18","S6.113","Hygromycin B",0.0337269682645007,1,"S2L1"
"19","S6.113","methylmethane sulfonate",0.0402998139303578,1,"S2L1"
"20","S6.113","Pentamidine Isethionate",0.0282804030016588,1,"S2L1"
"21","S6.113","Poly-L-lysine hydrochloride",0.0352383287395577,1,"S2L1"
"22","S6.113","Sodium Fluoride",0.00227726471713,1,"S2L1"
"23","S6.113","Sodium metasilicate",2.58529695802948e-05,1,"S2L1"
"24","S6.113","Sodium Orthovanadate",0.000934013714112254,1,"S2L1"
"25","S6.113","Sodium Selenate",0.0179103253885293,1,"S2L1"
"26","S6.113","Tamoxifen",0.0248601887835186,1,"S2L1"
"27","S6.113","Tartaric acid",0.0282804030016588,1,"S2L1"
"28","S6.113","Thialysine",0.000423360740497675,1,"S2L1"
"29","S6.113","Thiourea",0.0251484995430038,1,"S2L1"
"30","S6.113","Trifluoperazine",0.0400668065139903,1,"S2L1"
"31","S6.113","Urea hydrogen peroxide",0.0251484995430038,1,"S2L1"
"32","S6.113","ETOH control ",0.0185609008189241,1,"S2L1"
"33","S6.113","Menadione ",0.000587442516408474,1,"S2L1"
"34","S6.113","Myclobutanil",0.00412758758961968,1,"S2L1"
"35","S6.113","Propiconazole",0.000174248793903208,1,"S2L1"
"36","S6.113","DMSO control",0.94171245274361,0,"S2L1"
"37","S6.113","5-Fluorouracil",0.881652713250109,0,"S2L1"
"38","S6.113","6-Azauracil",0.824460570945374,0,"S2L1"
"39","S6.113","CCCP",0.881652713250109,0,"S2L1"
"40","S6.113","Cinnamic acid",0.564065066696704,0,"S2L1"
"41","S6.113","Cycloheximide",0.534493313066429,0,"S2L1"
"42","S6.113","EDTA",0.701013609426068,0,"S2L1"
"43","S6.113","Fluconazole",0.729276936118164,0,"S2L1"
"44","S6.113","Guanidine hydrochloride",0.832959079016466,0,"S2L1"
"45","S6.113","Miconazole Nitrate",0.968239531671894,0,"S2L1"
"46","S6.113","Miltefosine",0.738521564664219,0,"S2L1"
"47","S6.113","Nystatin ",0.278794070585888,0,"S2L1"
"48","S6.113","Triclosan",0.906226889640654,0,"S2L1"
"49","S6.14","H2O control ",0.620284129858467,0,"S1L1"
"50","S6.14","2-Deoxy-D-glucose",0.362397168031804,0,"S1L1"
"51","S6.14","3-Amino-1,2,4- triazole",0.596605695809194,0,"S1L1"
"52","S6.14","4-Aminopyridine",0.618314455977849,0,"S1L1"
"53","S6.14","5-Fluorocytosine",0.486524351808264,0,"S1L1"
"54","S6.14","Azaserine*",0.998805396761633,0,"S1L1"
"55","S6.14","Benzamidine",0.618314455977849,0,"S1L1"
"56","S6.14","Blasticidin hydrochloride",0.58127279998761,0,"S1L1"
"57","S6.14","Caffeine",0.536441888889079,0,"S1L1"
"58","S6.14","Cetylpyridinium chloride",0.998805396761633,0,"S1L1"
"59","S6.14","Chlorpromazine hydrochloride ",0.618314455977849,0,"S1L1"
"60","S6.14","Compound 48/80*",0.399334415235365,0,"S1L1"
"61","S6.14","Copper(II) sulfate",0.0615413503539441,0,"S1L1"
"62","S6.14","Dequalinium Chloride",0.998805396761633,0,"S1L1"
"63","S6.14","Diamide",0.0766811269326786,0,"S1L1"
"64","S6.14","DTT",0.0822668697360533,0,"S1L1"
"65","S6.14","Hydroxyurea",0.261506343436129,0,"S1L1"
"66","S6.14","Hygromycin B",0.469139372118973,0,"S1L1"
"67","S6.14","methylmethane sulfonate",0.618314455977849,0,"S1L1"
"68","S6.14","Pentamidine Isethionate",0.618314455977849,0,"S1L1"
"69","S6.14","Poly-L-lysine hydrochloride",0.618314455977849,0,"S1L1"
"70","S6.14","Sodium Fluoride",0.445101407426517,0,"S1L1"
"71","S6.14","Sodium metasilicate",0.406838455535039,0,"S1L1"
"72","S6.14","Sodium Orthovanadate",0.261506343436129,0,"S1L1"
"73","S6.14","Sodium Selenate",0.279727654495902,0,"S1L1"
"74","S6.14","Tamoxifen",0.536441888889079,0,"S1L1"
"75","S6.14","Tartaric acid",0.596605695809194,0,"S1L1"
"76","S6.14","Thialysine",0.279727654495902,0,"S1L1"
"77","S6.14","Thiourea",0.569461407875879,0,"S1L1"
"78","S6.14","Trifluoperazine",0.618314455977849,0,"S1L1"
"79","S6.14","Urea hydrogen peroxide",0.542962498781051,0,"S1L1"
"80","S6.14","ETOH control ",0.291479264753722,0,"S1L1"
"81","S6.14","Menadione ",0.000244674294435544,1,"S1L1"
"82","S6.14","Myclobutanil",0.00137646259472965,1,"S1L1"
"83","S6.14","Propiconazole",0.000244674294435544,1,"S1L1"
"84","S6.14","DMSO control",0.945804373505349,0,"S1L1"
"85","S6.14","5-Fluorouracil",0.945804373505349,0,"S1L1"
"86","S6.14","6-Azauracil",0.906473808753034,0,"S1L1"
"87","S6.14","CCCP",0.945804373505349,0,"S1L1"
"88","S6.14","Cinnamic acid",0.988396747027865,0,"S1L1"
"89","S6.14","Cycloheximide",0.744747334238213,0,"S1L1"
"90","S6.14","EDTA",0.945804373505349,0,"S1L1"
"91","S6.14","Fluconazole",0.945804373505349,0,"S1L1"
"92","S6.14","Guanidine hydrochloride",0.945804373505349,0,"S1L1"
"93","S6.14","Miconazole Nitrate",0.945804373505349,0,"S1L1"
"94","S6.14","Miltefosine",0.945804373505349,0,"S1L1"
"95","S6.14","Nystatin ",0.945804373505349,0,"S1L1"
"96","S6.14","Triclosan",0.945804373505349,0,"S1L1"
"97","S6.45","H2O control ",0.913677726844746,0,"S1L2"
"98","S6.45","2-Deoxy-D-glucose",0.91046210962062,0,"S1L2"
"99","S6.45","3-Amino-1,2,4- triazole",0.398095512504895,0,"S1L2"
"100","S6.45","4-Aminopyridine",0.671923524540594,0,"S1L2"
"101","S6.45","5-Fluorocytosine",0.862205812018835,0,"S1L2"
"102","S6.45","Azaserine*",0.0655678600078044,0,"S1L2"
"103","S6.45","Benzamidine",0.776255598042568,0,"S1L2"
"104","S6.45","Blasticidin hydrochloride",0.750232367578545,0,"S1L2"
"105","S6.45","Caffeine",0.941178333593251,0,"S1L2"
"106","S6.45","Cetylpyridinium chloride",0.264478777306054,0,"S1L2"
"107","S6.45","Chlorpromazine hydrochloride ",0.835302496488086,0,"S1L2"
"108","S6.45","Compound 48/80*",0.00017035696788912,1,"S1L2"
"109","S6.45","Copper(II) sulfate",1.96803354409437e-05,1,"S1L2"
"110","S6.45","Dequalinium Chloride",0.670485679742877,0,"S1L2"
"111","S6.45","Diamide",5.05054574127634e-06,1,"S1L2"
"112","S6.45","DTT",3.18620395590355e-05,1,"S1L2"
"113","S6.45","Hydroxyurea",0.0816124893565676,0,"S1L2"
"114","S6.45","Hygromycin B",0.728498984207904,0,"S1L2"
"115","S6.45","methylmethane sulfonate",0.676387888966832,0,"S1L2"
"116","S6.45","Pentamidine Isethionate",0.282719171204872,0,"S1L2"
"117","S6.45","Poly-L-lysine hydrochloride",0.913677726844746,0,"S1L2"
"118","S6.45","Sodium Fluoride",0.237222440324757,0,"S1L2"
"119","S6.45","Sodium metasilicate",0.0561945782607135,0,"S1L2"
"120","S6.45","Sodium Orthovanadate",3.57912473541318e-05,1,"S1L2"
"121","S6.45","Sodium Selenate",0.948763809474292,0,"S1L2"
"122","S6.45","Tamoxifen",0.34560823061375,0,"S1L2"
"123","S6.45","Tartaric acid",0.941178333593251,0,"S1L2"
"124","S6.45","Thialysine",0.0164509643692878,1,"S1L2"
"125","S6.45","Thiourea",0.913677726844746,0,"S1L2"
"126","S6.45","Trifluoperazine",0.798778880470856,0,"S1L2"
"127","S6.45","Urea hydrogen peroxide",0.676387888966832,0,"S1L2"
"128","S6.45","ETOH control ",0.0902009686240238,0,"S1L2"
"129","S6.45","Menadione ",9.89044472475761e-07,1,"S1L2"
"130","S6.45","Myclobutanil",5.6272150913168e-06,1,"S1L2"
"131","S6.45","Propiconazole",4.51293691089329e-06,1,"S1L2"
"132","S6.45","DMSO control",0.841259113557811,0,"S1L2"
"133","S6.45","5-Fluorouracil",0.916875363453199,0,"S1L2"
"134","S6.45","6-Azauracil",0.484360441965692,0,"S1L2"
"135","S6.45","CCCP",0.841259113557811,0,"S1L2"
"136","S6.45","Cinnamic acid",0.717697676253371,0,"S1L2"
"137","S6.45","Cycloheximide",0.599231590147009,0,"S1L2"
"138","S6.45","EDTA",0.91744370574255,0,"S1L2"
"139","S6.45","Fluconazole",0.841259113557811,0,"S1L2"
"140","S6.45","Guanidine hydrochloride",0.724598301929088,0,"S1L2"
"141","S6.45","Miconazole Nitrate",0.724598301929088,0,"S1L2"
"142","S6.45","Miltefosine",0.459879594903225,0,"S1L2"
"143","S6.45","Nystatin ",0.567501481662187,0,"S1L2"
"144","S6.45","Triclosan",0.841259113557811,0,"S1L2"
"145","U5.05","H2O control ",0.626432605977608,0,"S2L2"
"146","U5.05","2-Deoxy-D-glucose",0.182254705441104,0,"S2L2"
"147","U5.05","3-Amino-1,2,4- triazole",0.896510924162579,0,"S2L2"
"148","U5.05","4-Aminopyridine",0.0595340571672052,0,"S2L2"
"149","U5.05","5-Fluorocytosine",0.626432605977608,0,"S2L2"
"150","U5.05","Azaserine*",0.687109576091531,0,"S2L2"
"151","U5.05","Benzamidine",0.656119275570743,0,"S2L2"
"152","U5.05","Blasticidin hydrochloride",0.952208728106563,0,"S2L2"
"153","U5.05","Caffeine",0.978202613555033,0,"S2L2"
"154","U5.05","Cetylpyridinium chloride",0.677291075038016,0,"S2L2"
"155","U5.05","Chlorpromazine hydrochloride ",0.964768951232121,0,"S2L2"
"156","U5.05","Compound 48/80*",0.0137774606344409,1,"S2L2"
"157","U5.05","Copper(II) sulfate",0.00612198941535218,1,"S2L2"
"158","U5.05","Dequalinium Chloride",0.0731608608185901,0,"S2L2"
"159","U5.05","Diamide",0.0121254977370322,1,"S2L2"
"160","U5.05","DTT",0.02699366070562,1,"S2L2"
"161","U5.05","Hydroxyurea",0.00994300788400334,1,"S2L2"
"162","U5.05","Hygromycin B",0.0247525700659063,1,"S2L2"
"163","U5.05","methylmethane sulfonate",0.938554172572713,0,"S2L2"
"164","U5.05","Pentamidine Isethionate",0.876373482143387,0,"S2L2"
"165","U5.05","Poly-L-lysine hydrochloride",0.176166503900025,0,"S2L2"
"166","U5.05","Sodium Fluoride",0.00192511249905001,1,"S2L2"
"167","U5.05","Sodium metasilicate",0.792302434511522,0,"S2L2"
"168","U5.05","Sodium Orthovanadate",0.0143471145771309,1,"S2L2"
"169","U5.05","Sodium Selenate",0.852009240117061,0,"S2L2"
"170","U5.05","Tamoxifen",0.989852139884238,0,"S2L2"
"171","U5.05","Tartaric acid",0.876373482143387,0,"S2L2"
"172","U5.05","Thialysine",0.261822294838051,0,"S2L2"
"173","U5.05","Thiourea",0.73034373893774,0,"S2L2"
"174","U5.05","Trifluoperazine",0.760777727744224,0,"S2L2"
"175","U5.05","Urea hydrogen peroxide",0.881743029976064,0,"S2L2"
"176","U5.05","ETOH control ",0.061497150080705,0,"S2L2"
"177","U5.05","Menadione ",0.061497150080705,0,"S2L2"
"178","U5.05","Myclobutanil",0.76180833779865,0,"S2L2"
"179","U5.05","Propiconazole",0.76180833779865,0,"S2L2"
"180","U5.05","DMSO control",0.769630144686693,0,"S2L2"
"181","U5.05","5-Fluorouracil",0.769630144686693,0,"S2L2"
"182","U5.05","6-Azauracil",0.557191262676843,0,"S2L2"
"183","U5.05","CCCP",0.223962104469574,0,"S2L2"
"184","U5.05","Cinnamic acid",0.814888600805142,0,"S2L2"
"185","U5.05","Cycloheximide",0.769630144686693,0,"S2L2"
"186","U5.05","EDTA",0.999459014815151,0,"S2L2"
"187","U5.05","Fluconazole",0.797826789597018,0,"S2L2"
"188","U5.05","Guanidine hydrochloride",0.999459014815151,0,"S2L2"
"189","U5.05","Miconazole Nitrate",0.828729636328428,0,"S2L2"
"190","U5.05","Miltefosine",0.338746058729058,0,"S2L2"
"191","U5.05","Nystatin ",0.814888600805142,0,"S2L2"
"192","U5.05","Triclosan",0.338746058729058,0,"S2L2"
"193","W.34.70","H2O control ",0.0044945608985048,1,"S3L2"
"194","W.34.70","2-Deoxy-D-glucose",0.000277267931832906,1,"S3L2"
"195","W.34.70","3-Amino-1,2,4- triazole",0.00352226925875135,1,"S3L2"
"196","W.34.70","4-Aminopyridine",0.00129639711899482,1,"S3L2"
"197","W.34.70","5-Fluorocytosine",0.00189759956424596,1,"S3L2"
"198","W.34.70","Azaserine*",0.148784149433994,0,"S3L2"
"199","W.34.70","Benzamidine",0.0026846084379986,1,"S3L2"
"200","W.34.70","Blasticidin hydrochloride",0.00665026656201306,1,"S3L2"
"201","W.34.70","Caffeine",0.00352226925875135,1,"S3L2"
"202","W.34.70","Cetylpyridinium chloride",0.000312633991862871,1,"S3L2"
"203","W.34.70","Chlorpromazine hydrochloride ",0.00606663974653116,1,"S3L2"
"204","W.34.70","Compound 48/80*",0.993213157739582,0,"S3L2"
"205","W.34.70","Copper(II) sulfate",0.00102962536786423,1,"S3L2"
"206","W.34.70","Dequalinium Chloride",0.00102962536786423,1,"S3L2"
"207","W.34.70","Diamide",0.000563120532058503,1,"S3L2"
"208","W.34.70","DTT",0.0002522491049906,1,"S3L2"
"209","W.34.70","Hydroxyurea",0.00129639711899482,1,"S3L2"
"210","W.34.70","Hygromycin B",0.000985988174508285,1,"S3L2"
"211","W.34.70","methylmethane sulfonate",0.0052768154555058,1,"S3L2"
"212","W.34.70","Pentamidine Isethionate",0.000546563282390822,1,"S3L2"
"213","W.34.70","Poly-L-lysine hydrochloride",0.0058531295875496,1,"S3L2"
"214","W.34.70","Sodium Fluoride",0.00195949366498503,1,"S3L2"
"215","W.34.70","Sodium metasilicate",0.00548423009800417,1,"S3L2"
"216","W.34.70","Sodium Orthovanadate",0.000277267931832906,1,"S3L2"
"217","W.34.70","Sodium Selenate",0.00189759956424596,1,"S3L2"
"218","W.34.70","Tamoxifen",0.0181971009477331,1,"S3L2"
"219","W.34.70","Tartaric acid",0.00182869303530666,1,"S3L2"
"220","W.34.70","Thialysine",0.00150047365626022,1,"S3L2"
"221","W.34.70","Thiourea",0.00356634155539039,1,"S3L2"
"222","W.34.70","Trifluoperazine",0.00559758950252701,1,"S3L2"
"223","W.34.70","Urea hydrogen peroxide",0.00102962536786423,1,"S3L2"
"224","W.34.70","ETOH control ",0.00645716364719841,1,"S3L2"
"225","W.34.70","Menadione ",0.00366539542632859,1,"S3L2"
"226","W.34.70","Myclobutanil",0.00262399528043329,1,"S3L2"
"227","W.34.70","Propiconazole",7.20151710320409e-05,1,"S3L2"
"228","W.34.70","DMSO control",0.87235314511623,0,"S3L2"
"229","W.34.70","5-Fluorouracil",0.580566482111012,0,"S3L2"
"230","W.34.70","6-Azauracil",0.945137707001839,0,"S3L2"
"231","W.34.70","CCCP",0.580566482111012,0,"S3L2"
"232","W.34.70","Cinnamic acid",0.637106334190962,0,"S3L2"
"233","W.34.70","Cycloheximide",0.580566482111012,0,"S3L2"
"234","W.34.70","EDTA",0.580566482111012,0,"S3L2"
"235","W.34.70","Fluconazole",0.580566482111012,0,"S3L2"
"236","W.34.70","Guanidine hydrochloride",0.701401073735522,0,"S3L2"
"237","W.34.70","Miconazole Nitrate",0.580566482111012,0,"S3L2"
"238","W.34.70","Miltefosine",0.629042027874241,0,"S3L2"
"239","W.34.70","Nystatin ",0.580566482111012,0,"S3L2"
"240","W.34.70","Triclosan",0.807851799032826,0,"S3L2"
"241","WLP.644","H2O control ",0.999841937682623,0,"S3L1"
"242","WLP.644","2-Deoxy-D-glucose",0.999841937682623,0,"S3L1"
"243","WLP.644","3-Amino-1,2,4- triazole",0.999841937682623,0,"S3L1"
"244","WLP.644","4-Aminopyridine",0.999841937682623,0,"S3L1"
"245","WLP.644","5-Fluorocytosine",0.999841937682623,0,"S3L1"
"246","WLP.644","Azaserine*",0.999841937682623,0,"S3L1"
"247","WLP.644","Benzamidine",0.999841937682623,0,"S3L1"
"248","WLP.644","Blasticidin hydrochloride",0.999841937682623,0,"S3L1"
"249","WLP.644","Caffeine",0.999841937682623,0,"S3L1"
"250","WLP.644","Cetylpyridinium chloride",0.00284274234682206,1,"S3L1"
"251","WLP.644","Chlorpromazine hydrochloride ",0.999841937682623,0,"S3L1"
"252","WLP.644","Compound 48/80*",0.999841937682623,0,"S3L1"
"253","WLP.644","Copper(II) sulfate",0.999841937682623,0,"S3L1"
"254","WLP.644","Dequalinium Chloride",0.999841937682623,0,"S3L1"
"255","WLP.644","Diamide",0.999841937682623,0,"S3L1"
"256","WLP.644","DTT",0.999841937682623,0,"S3L1"
"257","WLP.644","Hydroxyurea",0.999841937682623,0,"S3L1"
"258","WLP.644","Hygromycin B",0.999841937682623,0,"S3L1"
"259","WLP.644","methylmethane sulfonate",0.999841937682623,0,"S3L1"
"260","WLP.644","Pentamidine Isethionate",0.999841937682623,0,"S3L1"
"261","WLP.644","Poly-L-lysine hydrochloride",0.999841937682623,0,"S3L1"
"262","WLP.644","Sodium Fluoride",0.999841937682623,0,"S3L1"
"263","WLP.644","Sodium metasilicate",0.999841937682623,0,"S3L1"
"264","WLP.644","Sodium Orthovanadate",0.999841937682623,0,"S3L1"
"265","WLP.644","Sodium Selenate",0.999841937682623,0,"S3L1"
"266","WLP.644","Tamoxifen",0.999841937682623,0,"S3L1"
"267","WLP.644","Tartaric acid",0.999841937682623,0,"S3L1"
