run,plate,well,A,mu,lambda
SAM-MIATCS3ISH,S1L1,A01,3.0596148562972227,1.9772900731278276e-4,21116.524893881753
SAM-MIATCS3ISH,S1L1,A02,2.7691524682251063,8.333301774381888e-4,541.433676700881
SAM-MIATCS3ISH,S1L1,A03,3,3.009173164948867e-4,21595.534979549717
SAM-MIATCS3ISH,S1L1,A04,1.4816517834788603,3.643418555606563e-5,82650.29718845505
SAM-MIATCS3ISH,S1L1,A05,3.0959244199985356,1.2179278450182977e-4,17005.169672694068
SAM-MIATCS3ISH,S1L1,A06,2.732560415046205,1.3220946910111943e-4,37831.90953457213
SAM-MIATCS3ISH,S1L1,A07,2.93161302501975,1.5257810810966283e-4,2170.5677878578276
SAM-MIATCS3ISH,S1L1,A08,3.0326169515820998,6.888435844441306e-4,834.5307513261795
SAM-MIATCS3ISH,S1L1,A09,3.4658152354281513,1.9702477273270678e-4,2817.9623257602557
SAM-MIATCS3ISH,S1L1,A10,1.2779847472997652,3.058106310456374e-5,112934.95075436223
SAM-MIATCS3ISH,S1L1,A11,2.5650236536678253,1.1365965129970517e-4,18277.54475245234
SAM-MIATCS3ISH,S1L1,A12,3.1098471808470696,7.170666228816833e-4,67297.65216304651
SAM-MIATCS3ISH,S1L1,B01,3.1799090900149345,1.9087030163286858e-4,23866.7336485028
SAM-MIATCS3ISH,S1L1,B02,2.9222448424855547,9.379688702250219e-4,13647.379807162266
SAM-MIATCS3ISH,S1L1,B03,3.0832133682489813,1.2473546074091212e-4,16915.767227090564
SAM-MIATCS3ISH,S1L1,B04,2.9393642022612054,1.294981482718952e-4,17313.392748468537
SAM-MIATCS3ISH,S1L1,B05,3.595443984589479,2.450121959228546e-4,1794.4830663110513
SAM-MIATCS3ISH,S1L1,B06,0.6374299206152918,7.624129131621437e-5,135660.30043300244
SAM-MIATCS3ISH,S1L1,B07,2.993135458702186,1.2242967796469362e-4,19543.81164920809
SAM-MIATCS3ISH,S1L1,B08,0.11958161575267245,1.888218940792342e-5,-77.63073169543861
SAM-MIATCS3ISH,S1L1,B09,3.0810839286876344,1.214728215347685e-4,16525.263572883763
SAM-MIATCS3ISH,S1L1,B10,3.1934797294212087,1.3239046797026876e-4,17085.62182487225
SAM-MIATCS3ISH,S1L1,B11,2.8744691179161412,9.523765665899005e-5,20228.09129119667
SAM-MIATCS3ISH,S1L1,B12,0.292781749227846,2.1622670712560402e-5,885
