run,plate,well,A,mu,lambda
SR1_results_MITACS DRUG RUN 2,S1L1,A01,3.1973683976539715,1.3944460406922036e-4,16764.62039486501
SR1_results_MITACS DRUG RUN 2,S1L1,A02,0.40632028217773497,4.538539389060127e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,A03,3.629017680799092,1.0186167794783309e-4,8604.064390310841
SR1_results_MITACS DRUG RUN 2,S1L1,A04,3.122228259411016,8.115802985300144e-5,14050.543301412043
SR1_results_MITACS DRUG RUN 2,S1L1,A05,3.7338833817055237,1.2287979624355584e-4,11932.913375924738
SR1_results_MITACS DRUG RUN 2,S1L1,A06,3.2885186728703486,7.936239097346159e-5,24305.74757801108
SR1_results_MITACS DRUG RUN 2,S1L1,A07,3.6559171479931765,1.4635765547173874e-4,16474.388581653096
SR1_results_MITACS DRUG RUN 2,S1L1,A08,0.7129701130972277,1.0210990868926765e-4,16555.74264403755
SR1_results_MITACS DRUG RUN 2,S1L1,A09,3.7807197955541376,1.9946055648636032e-4,11119.784382435679
SR1_results_MITACS DRUG RUN 2,S1L1,A10,2.9617525306430372,1.6127878170926697e-4,-0
SR1_results_MITACS DRUG RUN 2,S1L1,A11,2.5113700944225235,1.2082119011158957e-4,23355.820954202292
SR1_results_MITACS DRUG RUN 2,S1L1,A12,2.6445864834075747,5.223960055485185e-4,18865.266629008776
SR1_results_MITACS DRUG RUN 2,S1L1,B01,3.183711953172388,1.2414604616893987e-4,19585.32253195639
SR1_results_MITACS DRUG RUN 2,S1L1,B02,0.5794243171797263,3.666916338719071e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,B03,3.6664923862177545,1.3020765718525914e-4,15954.706379362073
SR1_results_MITACS DRUG RUN 2,S1L1,B04,3.640375621039763,1.4783027326210964e-4,16899.491540632156
SR1_results_MITACS DRUG RUN 2,S1L1,B05,3.571235517609644,8.74543442776021e-5,6855.772924199576
SR1_results_MITACS DRUG RUN 2,S1L1,B06,0.5618788876081148,2.3752977873567665e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,B07,3.8200213338937647,1.598742504725027e-4,4107.076167219207
SR1_results_MITACS DRUG RUN 2,S1L1,B08,0.5963672639934054,9.27220337841416e-5,16782.709591263094
SR1_results_MITACS DRUG RUN 2,S1L1,B09,3.783570256867553,1.3325873855375491e-4,13386.24673600014
SR1_results_MITACS DRUG RUN 2,S1L1,B10,3.720357591445632,1.524747696151562e-4,17520.10713473599
SR1_results_MITACS DRUG RUN 2,S1L1,B11,3.03973575224721,1.0986432810577999e-4,-0
SR1_results_MITACS DRUG RUN 2,S1L1,B12,1.1834461410959314,7.20059475322049e-5,166204.48885660057
SR1_results_MITACS DRUG RUN 2,S1L1,C01,3.382228605155176,1.3203040072341573e-4,19067.625217751567
SR1_results_MITACS DRUG RUN 2,S1L1,C02,3.536352556496534,1.3928842127758286e-4,16631.406851198964
SR1_results_MITACS DRUG RUN 2,S1L1,C03,3.6115890027665096,1.31396991864175e-4,16307.619236204075
SR1_results_MITACS DRUG RUN 2,S1L1,C04,0.6189098326444937,2.0904963342839322e-5,9153.740669465218
SR1_results_MITACS DRUG RUN 2,S1L1,C05,3.682952291412251,1.5426425476760465e-4,17264.84751123963
SR1_results_MITACS DRUG RUN 2,S1L1,C06,3.2163179069267636,1.0866092438606659e-4,46423.09405928813
SR1_results_MITACS DRUG RUN 2,S1L1,C07,3.715072988317364,1.3814760316449971e-4,20014.088955312174
SR1_results_MITACS DRUG RUN 2,S1L1,C08,3.6799949493440947,1.5306326464990287e-4,18483.44273855465
SR1_results_MITACS DRUG RUN 2,S1L1,C09,3.715072988317364,1.3709804857272407e-4,16410.620594858196
SR1_results_MITACS DRUG RUN 2,S1L1,C10,0.7472339296200331,6.734056808915276e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,C11,3.3532922657966977,1.4664064341240638e-4,17902.745399460266
SR1_results_MITACS DRUG RUN 2,S1L1,C12,2.3313884241364287,1.6442606521297701e-4,-1957.8896719955978
SR1_results_MITACS DRUG RUN 2,S1L1,D01,0.3025627700204313,4.3681782645610826e-5,-0
SR1_results_MITACS DRUG RUN 2,S1L1,D02,3.6656742999804157,1.5897167568801373e-4,4106.641579161823
SR1_results_MITACS DRUG RUN 2,S1L1,D03,0.7472339296200331,4.968351526302689e-5,896
SR1_results_MITACS DRUG RUN 2,S1L1,D04,3.5821309099379937,1.2297680271278018e-4,15155.940089959438
SR1_results_MITACS DRUG RUN 2,S1L1,D05,3.3468744520175933,1.313431099205737e-4,17968.642626240744
SR1_results_MITACS DRUG RUN 2,S1L1,D06,3.02342434551133,1.1223296789774521e-4,15878.599740156997
SR1_results_MITACS DRUG RUN 2,S1L1,D07,1.8969065070358966,1.085552437470841e-4,6300.4921336214975
SR1_results_MITACS DRUG RUN 2,S1L1,D08,3.742299038469247,2.0769100210613918e-4,13037.97771026776
SR1_results_MITACS DRUG RUN 2,S1L1,D09,0.9547707460070023,7.506243402867484e-5,197.01627301224687
SR1_results_MITACS DRUG RUN 2,S1L1,D10,3.3480803827433308,1.4645403960760665e-4,17235.389964776583
SR1_results_MITACS DRUG RUN 2,S1L1,D11,2.925191412351462,2.065743219197302e-4,-0
SR1_results_MITACS DRUG RUN 2,S1L1,D12,2.618084570895865,3.874114730102894e-4,14302.828536841553
SR1_results_MITACS DRUG RUN 2,S1L1,E01,3.1737824771118266,1.3459981407773616e-4,21800.7483656912
SR1_results_MITACS DRUG RUN 2,S1L1,E02,3.4798289519133117,1.0398934312039552e-4,38179.73808586511
SR1_results_MITACS DRUG RUN 2,S1L1,E03,3.481386097278606,1.3313076289518907e-4,17028.33966182775
SR1_results_MITACS DRUG RUN 2,S1L1,E04,3.3740401274066527,1.4805349801012122e-4,18984.663604551886
SR1_results_MITACS DRUG RUN 2,S1L1,E05,3.1035376041084106,7.558043149366752e-5,11456.81529763836
SR1_results_MITACS DRUG RUN 2,S1L1,E06,3.4546253008963634,1.697093032592638e-4,20132.279718201422
SR1_results_MITACS DRUG RUN 2,S1L1,E07,3.0065035198376604,1.0955616201423802e-4,38437.98838461513
SR1_results_MITACS DRUG RUN 2,S1L1,E08,3.2380674903172184,1.03025166604068e-4,51038.32294778249
SR1_results_MITACS DRUG RUN 2,S1L1,E09,3.451211111832329,1.6951967047473723e-4,19929.376384309064
SR1_results_MITACS DRUG RUN 2,S1L1,E10,3.4720179147444106,1.6138052045686882e-4,19123.500610639036
SR1_results_MITACS DRUG RUN 2,S1L1,E11,2.926456763635624,1.2900515257820147e-4,-0
SR1_results_MITACS DRUG RUN 2,S1L1,E12,1.4961790217324649,5.6089684849781395e-5,14609.805757239224
