run,plate,well,A,mu,lambda
Result_96_2020_01_27_DRUGRUN4,S1L1,A01,2.9625824706455828,1.2704597568311717e-4,16589.083763921106
Result_96_2020_01_27_DRUGRUN4,S1L1,A02,2.867996633307061,1.2378141490292853e-4,21386.733919445127
Result_96_2020_01_27_DRUGRUN4,S1L1,A03,0.14048122354983045,9.142977969757114e-6,81006.86130650753
Result_96_2020_01_27_DRUGRUN4,S1L1,A04,1.5168301880126351,6.118921926529873e-5,70696.29431458696
Result_96_2020_01_27_DRUGRUN4,S1L1,A05,3.454549979568713,1.7303190473730862e-4,11870.22452977272
Result_96_2020_01_27_DRUGRUN4,S1L1,A06,2.617246190149753,1.5978274602176904e-4,30403.06780951558
Result_96_2020_01_27_DRUGRUN4,S1L1,A07,3.039876314867284,1.3437729405608979e-4,16616.663463532073
Result_96_2020_01_27_DRUGRUN4,S1L1,A08,2.8451982732022763,1.1482909097777401e-4,20367.309419029152
Result_96_2020_01_27_DRUGRUN4,S1L1,A09,3.544834645170653,1.3347842160624698e-4,15416.339349968901
Result_96_2020_01_27_DRUGRUN4,S1L1,A10,1.3559545414952894,5.232276346391822e-5,80251.21897543936
Result_96_2020_01_27_DRUGRUN4,S1L1,A11,3.3492293242431983,2.2272823492710506e-4,12548.38579241469
Result_96_2020_01_27_DRUGRUN4,S1L1,A12,2.676191559071052,1.1501992620751889e-4,30354.852308567926
Result_96_2020_01_27_DRUGRUN4,S1L1,B01,3.527693442386265,1.9869776989452423e-4,1318.9618821703805
Result_96_2020_01_27_DRUGRUN4,S1L1,B02,0.18160680648994756,2.5824271677404872e-5,890.7362884175367
Result_96_2020_01_27_DRUGRUN4,S1L1,B03,3.1190042776188145,1.3409661730244283e-4,17944.095256748307
Result_96_2020_01_27_DRUGRUN4,S1L1,B04,3.327133254018623,2.613601035778117e-4,12951.417183238415
Result_96_2020_01_27_DRUGRUN4,S1L1,B05,3.695846957064469,4.494997104275901e-4,3754.5279555289185
Result_96_2020_01_27_DRUGRUN4,S1L1,B06,0.3254002867941672,1.3005475326891579e-5,444.28710594924894
Result_96_2020_01_27_DRUGRUN4,S1L1,B07,3.6551881261327606,2.0872301563539428e-4,1278.726324960197
Result_96_2020_01_27_DRUGRUN4,S1L1,B08,0.2515387669959646,2.875664730308049e-5,1601.746884219853
Result_96_2020_01_27_DRUGRUN4,S1L1,B09,3.1960721749097174,3.425617286842673e-4,13623.933612027815
Result_96_2020_01_27_DRUGRUN4,S1L1,B10,3.1434279814381036,2.5916844887356174e-4,12960.951538375344
Result_96_2020_01_27_DRUGRUN4,S1L1,B11,3.6976969510775533,2.737049336041391e-4,1192.9426670122405
Result_96_2020_01_27_DRUGRUN4,S1L1,B12,0.39060985439390256,2.2516390719689817e-5,539.7815747583347
Result_96_2020_01_27_DRUGRUN4,S1L1,C01,2.9888214313980335,1.5378987540868121e-4,24076.28705362277
Result_96_2020_01_27_DRUGRUN4,S1L1,C02,3.119181161989869,1.4004239162739623e-4,17282.70346526508
