run,plate,well,A,mu,lambda
SAM-MIATCS3ISH,S1L1,A01,0.5870000000000001,5.0003794213340414e-5,27744.593369938997
SAM-MIATCS3ISH,S1L1,A02,0.47700000000000004,6.800006870749911e-5,2332.707635699979
SAM-MIATCS3ISH,S1L1,A03,0.5810000000000001,5.003885852883072e-5,23447.723978854443
SAM-MIATCS3ISH,S1L1,A04,0.14700000000000002,4.011572565003121e-6,87333.3502880127
SAM-MIATCS3ISH,S1L1,A05,0.6040000000000001,2.4981802445473195e-5,23775.38583372981
SAM-MIATCS3ISH,S1L1,A06,0.463,1.3936681678769645e-5,39506.49337990998
SAM-MIATCS3ISH,S1L1,A07,0.537,2.4912370217176957e-5,23928.528295213207
SAM-MIATCS3ISH,S1L1,A08,0.5890000000000001,7.837679789867496e-5,859.482244061749
SAM-MIATCS3ISH,S1L1,A09,0.8240000000000001,3.974459856255207e-5,20779.293468990636
SAM-MIATCS3ISH,S1L1,A10,0.114,2.740329082509638e-6,117369.57848719452
SAM-MIATCS3ISH,S1L1,A11,0.418,2.138406061511779e-5,24257.460230321347
SAM-MIATCS3ISH,S1L1,A12,0.6030000000000001,1.2433602840536146e-4,67913.38938145098
SAM-MIATCS3ISH,S1L1,B01,0.645,5.3978095171390975e-5,30444.039108955927
SAM-MIATCS3ISH,S1L1,B02,0.533,9.187396292006562e-5,13800.321292722898
SAM-MIATCS3ISH,S1L1,B03,0.5980000000000001,2.6354709776092086e-5,24049.36618748757
SAM-MIATCS3ISH,S1L1,B04,0.547,2.3684272646468887e-5,23643.598634311602
SAM-MIATCS3ISH,S1L1,B05,0.887,4.729065654496407e-5,15072.00207987874
SAM-MIATCS3ISH,S1L1,B06,0.045,6.423476123346113e-6,137026.4842192141
SAM-MIATCS3ISH,S1L1,B07,0.55,2.5129179737676636e-5,27331.035658143857
SAM-MIATCS3ISH,S1L1,B08,0.006999999999999992,1.0850694264982987e-6,-57.20003048499642
SAM-MIATCS3ISH,S1L1,B09,0.5970000000000001,2.4839350405067196e-5,24045.036697432777
SAM-MIATCS3ISH,S1L1,B10,0.66,2.766136346916779e-5,23956.57826635472
SAM-MIATCS3ISH,S1L1,B11,0.513,2.4745052644149806e-5,31560.231232442824
SAM-MIATCS3ISH,S1L1,B12,0.018000000000000002,1.2499219542182606e-6,56468.45052338909
SAM-MIATCS3ISH,S1L1,C01,0.5670000000000001,3.514869413887675e-5,29721.41437772261
SAM-MIATCS3ISH,S1L1,C02,0.557,2.3874576266652976e-5,24107.838845077928
SAM-MIATCS3ISH,S1L1,C03,0.5670000000000001,2.5275394785190098e-5,23208.342675408192
SAM-MIATCS3ISH,S1L1,C04,0.009999999999999995,1.0115212935867353e-6,-0
SAM-MIATCS3ISH,S1L1,C05,0.5720000000000001,2.6030131846700295e-5,23488.248017605387
SAM-MIATCS3ISH,S1L1,C06,0.018000000000000002,1.0787784501534755e-6,-67.94878783077844
SAM-MIATCS3ISH,S1L1,C07,0.537,3.845878080332772e-5,34161.25427575205
SAM-MIATCS3ISH,S1L1,C08,0.534,2.387708890017403e-5,24967.957988054008
SAM-MIATCS3ISH,S1L1,C09,0.5840000000000001,2.6328836199064943e-5,23670.5568928947
SAM-MIATCS3ISH,S1L1,C10,0.009999999999999995,1.1107257718326378e-6,475.3755338006524
SAM-MIATCS3ISH,S1L1,C11,0.532,2.3909278645243402e-5,23474.107405202285
SAM-MIATCS3ISH,S1L1,C12,0.011999999999999997,1.6463316604139396e-6,-0
SAM-MIATCS3ISH,S1L1,D01,0.012999999999999998,2.6494180371953333e-7,116801.27580529582
SAM-MIATCS3ISH,S1L1,D02,0.6010000000000001,2.5284172675408772e-5,24984.53522175025
SAM-MIATCS3ISH,S1L1,D03,0.032,2.4379744004554675e-6,-0
SAM-MIATCS3ISH,S1L1,D04,0.562,2.5421402404925346e-5,25733.51623729385
SAM-MIATCS3ISH,S1L1,D05,0.527,2.856786531568946e-5,24664.20110751165
SAM-MIATCS3ISH,S1L1,D06,0.38,1.3687199884957962e-5,19211.111217065998
SAM-MIATCS3ISH,S1L1,D07,0.5820000000000001,1.0801054067197486e-4,8495.751659238009
SAM-MIATCS3ISH,S1L1,D08,0.537,2.3826471868501834e-5,32170.667046801827
SAM-MIATCS3ISH,S1L1,D09,0.027999999999999997,2.338047705091165e-6,-0
SAM-MIATCS3ISH,S1L1,D10,0.5900000000000001,2.6464197250330415e-5,25852.766457981594
SAM-MIATCS3ISH,S1L1,D11,0.507,2.5370140882518297e-5,27888.856482240706
SAM-MIATCS3ISH,S1L1,D12,0.384,1.1520906525297445e-5,18353.133849845715
SAM-MIATCS3ISH,S1L1,E01,0.541,2.4318099747525828e-5,22869.442911951894
SAM-MIATCS3ISH,S1L1,E02,0.541,2.5020778519242732e-5,28575.802775813056
SAM-MIATCS3ISH,S1L1,E03,0.5720000000000001,2.5788213084898353e-5,23835.984151433342
SAM-MIATCS3ISH,S1L1,E04,0.533,2.527981850944205e-5,24001.176892573985
