plate,well,runtime,measure,run,measures_pp
S1L1,A01,0,0.083,saved-2019-08-27_SR1_results,0.0010000000000000009
S1L1,A01,861,0.082,saved-2019-08-27_SR1_results,0
S1L1,A01,1761,0.083,saved-2019-08-27_SR1_results,0.0010000000000000009
S1L1,A01,2662,0.083,saved-2019-08-27_SR1_results,0.0010000000000000009
S1L1,A01,3563,0.084,saved-2019-08-27_SR1_results,0.0020000000000000018
S1L1,A01,4464,0.086,saved-2019-08-27_SR1_results,0.00399999999999999
S1L1,A01,5364,0.087,saved-2019-08-27_SR1_results,0.0049999999999999906
S1L1,A01,6265,0.087,saved-2019-08-27_SR1_results,0.0049999999999999906
S1L1,A01,7166,0.089,saved-2019-08-27_SR1_results,0.006999999999999992
S1L1,A01,8067,0.092,saved-2019-08-27_SR1_results,0.009999999999999995
S1L1,A01,8957,0.094,saved-2019-08-27_SR1_results,0.011999999999999997
S1L1,A01,9858,0.096,saved-2019-08-27_SR1_results,0.013999999999999999
S1L1,A01,10759,0.1,saved-2019-08-27_SR1_results,0.018000000000000002
S1L1,A01,11660,0.104,saved-2019-08-27_SR1_results,0.021999999999999992
S1L1,A01,12560,0.109,saved-2019-08-27_SR1_results,0.026999999999999996
S1L1,A01,13461,0.113,saved-2019-08-27_SR1_results,0.031
S1L1,A01,14362,0.121,saved-2019-08-27_SR1_results,0.03899999999999999
S1L1,A01,15263,0.133,saved-2019-08-27_SR1_results,0.051000000000000004
S1L1,A01,16163,0.181,saved-2019-08-27_SR1_results,0.09899999999999999
S1L1,A01,17064,0.26,saved-2019-08-27_SR1_results,0.178
S1L1,A01,17965,0.317,saved-2019-08-27_SR1_results,0.235
S1L1,A01,18866,0.307,saved-2019-08-27_SR1_results,0.22499999999999998
S1L1,A01,19766,0.308,saved-2019-08-27_SR1_results,0.22599999999999998
S1L1,A01,20657,0.192,saved-2019-08-27_SR1_results,0.11
S1L1,A01,21558,0.195,saved-2019-08-27_SR1_results,0.113
S1L1,A01,22459,0.194,saved-2019-08-27_SR1_results,0.112
S1L1,A01,23359,0.207,saved-2019-08-27_SR1_results,0.12499999999999999
S1L1,A01,24260,0.229,saved-2019-08-27_SR1_results,0.14700000000000002
S1L1,A01,25161,0.259,saved-2019-08-27_SR1_results,0.177
S1L1,A01,26062,0.286,saved-2019-08-27_SR1_results,0.20399999999999996
S1L1,A01,26962,0.313,saved-2019-08-27_SR1_results,0.23099999999999998
S1L1,A01,27863,0.342,saved-2019-08-27_SR1_results,0.26
S1L1,A01,28764,0.372,saved-2019-08-27_SR1_results,0.29
S1L1,A01,29665,0.4,saved-2019-08-27_SR1_results,0.318
S1L1,A01,30565,0.429,saved-2019-08-27_SR1_results,0.347
S1L1,A01,31466,0.461,saved-2019-08-27_SR1_results,0.379
S1L1,A01,32357,0.495,saved-2019-08-27_SR1_results,0.413
S1L1,A01,33258,0.527,saved-2019-08-27_SR1_results,0.445
S1L1,A01,34158,0.556,saved-2019-08-27_SR1_results,0.47400000000000003
S1L1,A01,35059,0.587,saved-2019-08-27_SR1_results,0.505
S1L1,A01,35960,0.616,saved-2019-08-27_SR1_results,0.534
S1L1,A01,36861,0.644,saved-2019-08-27_SR1_results,0.562
S1L1,A01,37762,0.667,saved-2019-08-27_SR1_results,0.5850000000000001
S1L1,A01,38662,0.692,saved-2019-08-27_SR1_results,0.61
S1L1,A01,39563,0.712,saved-2019-08-27_SR1_results,0.63
S1L1,A01,40464,0.732,saved-2019-08-27_SR1_results,0.65
S1L1,A01,41365,0.739,saved-2019-08-27_SR1_results,0.657
S1L1,A01,42265,0.735,saved-2019-08-27_SR1_results,0.653
S1L1,A01,43166,0.726,saved-2019-08-27_SR1_results,0.644
S1L1,A01,44067,0.725,saved-2019-08-27_SR1_results,0.643
S1L1,A01,44958,0.721,saved-2019-08-27_SR1_results,0.639
S1L1,A01,45858,0.717,saved-2019-08-27_SR1_results,0.635
S1L1,A01,46759,0.713,saved-2019-08-27_SR1_results,0.631
S1L1,A01,47660,0.711,saved-2019-08-27_SR1_results,0.629
S1L1,A01,48561,0.708,saved-2019-08-27_SR1_results,0.626
S1L1,A01,49461,0.706,saved-2019-08-27_SR1_results,0.624
S1L1,A01,50362,0.705,saved-2019-08-27_SR1_results,0.623
S1L1,A01,51263,0.704,saved-2019-08-27_SR1_results,0.622
S1L1,A01,52164,0.704,saved-2019-08-27_SR1_results,0.622
S1L1,A01,53064,0.7,saved-2019-08-27_SR1_results,0.618
S1L1,A01,53965,0.698,saved-2019-08-27_SR1_results,0.616
S1L1,A01,54866,0.698,saved-2019-08-27_SR1_results,0.616
S1L1,A01,55767,0.695,saved-2019-08-27_SR1_results,0.613
S1L1,A01,56657,0.694,saved-2019-08-27_SR1_results,0.612
S1L1,A01,57558,0.694,saved-2019-08-27_SR1_results,0.612
S1L1,A01,58459,0.692,saved-2019-08-27_SR1_results,0.61
S1L1,A01,59360,0.69,saved-2019-08-27_SR1_results,0.608
S1L1,A01,60260,0.691,saved-2019-08-27_SR1_results,0.609
S1L1,A01,61161,0.692,saved-2019-08-27_SR1_results,0.61
S1L1,A01,62062,0.687,saved-2019-08-27_SR1_results,0.6050000000000001
S1L1,A01,62963,0.687,saved-2019-08-27_SR1_results,0.6050000000000001
S1L1,A01,63863,0.687,saved-2019-08-27_SR1_results,0.6050000000000001
S1L1,A01,64764,0.686,saved-2019-08-27_SR1_results,0.6040000000000001
S1L1,A01,65665,0.686,saved-2019-08-27_SR1_results,0.6040000000000001
S1L1,A01,66566,0.684,saved-2019-08-27_SR1_results,0.6020000000000001
S1L1,A01,67466,0.685,saved-2019-08-27_SR1_results,0.6030000000000001
S1L1,A01,68357,0.684,saved-2019-08-27_SR1_results,0.6020000000000001
