run,plate,well,A,mu,lambda
saved-2019-08-27_SR1_results,S1L1,A01,0.657,7.452095843926946e-5,14675.410216294249
saved-2019-08-27_SR1_results,S1L1,A02,0.674,8.967388887186551e-5,14909.484024870193
saved-2019-08-27_SR1_results,S1L1,A03,0.673,7.471180909366107e-5,14052.42789741669
saved-2019-08-27_SR1_results,S1L1,A04,0.675,8.002745173399831e-5,14314.943329655758
saved-2019-08-27_SR1_results,S1L1,A05,0.739,3.937339066152618e-5,27731.092238784568
saved-2019-08-27_SR1_results,S1L1,A06,0.6980000000000001,3.7939754967709345e-5,35289.92697242201
saved-2019-08-27_SR1_results,S1L1,A07,0.64,6.010590657904296e-5,14119.197898608612
saved-2019-08-27_SR1_results,S1L1,A08,0.738,3.631452569493729e-5,26707.504102832256
saved-2019-08-27_SR1_results,S1L1,A09,0.642,8.359506438629273e-5,15592.621266064021
saved-2019-08-27_SR1_results,S1L1,A10,0.62,8.421740238002673e-5,15472.879920146053
saved-2019-08-27_SR1_results,S1L1,A11,0.5930000000000001,3.419026394661404e-5,22638.766952394708
saved-2019-08-27_SR1_results,S1L1,A12,0.5970000000000001,6.028007409354603e-5,15770.040077539466
saved-2019-08-27_SR1_results,S1L1,B01,0.556,4.164157329379657e-5,25390.340989352342
saved-2019-08-27_SR1_results,S1L1,B02,0.523,7.39104970459439e-5,14682.741490933342
saved-2019-08-27_SR1_results,S1L1,B03,0.544,2.880840761217769e-5,20618.771105704873
saved-2019-08-27_SR1_results,S1L1,B04,0.53,7.25347169322541e-5,14513.497181152768
saved-2019-08-27_SR1_results,S1L1,B05,0.547,5.737411045409421e-5,33288.392914143034
saved-2019-08-27_SR1_results,S1L1,B06,0.523,4.004841285908498e-5,36046.96500601692
saved-2019-08-27_SR1_results,S1L1,B07,0.505,7.99906430994782e-5,15301.293831671674
saved-2019-08-27_SR1_results,S1L1,B08,0.53,5.5472777277813416e-5,33739.981151403736
saved-2019-08-27_SR1_results,S1L1,B09,0.523,2.4801761205532223e-5,21157.539652670523
saved-2019-08-27_SR1_results,S1L1,B10,0.508,2.9200052885811736e-5,22996.520557026677
saved-2019-08-27_SR1_results,S1L1,B11,0.49599999999999994,2.4835965060132233e-5,22797.90939405589
saved-2019-08-27_SR1_results,S1L1,B12,0.509,2.5532337281975788e-5,23700.762417626207
saved-2019-08-27_SR1_results,S1L1,C01,0.608,5.0482963344721345e-5,23000.26743223637
saved-2019-08-27_SR1_results,S1L1,C02,0.536,3.303815460878258e-5,25132.18862605681
saved-2019-08-27_SR1_results,S1L1,C03,0.5870000000000001,4.4877797955471126e-5,22483.170619836623
saved-2019-08-27_SR1_results,S1L1,C04,0.5880000000000001,4.993715884389681e-5,22857.973104914545
saved-2019-08-27_SR1_results,S1L1,C05,0.789,6.499498060742917e-5,29561.366735420244
saved-2019-08-27_SR1_results,S1L1,C06,0.78,6.428449591033521e-5,31489.513653869082
saved-2019-08-27_SR1_results,S1L1,C07,0.559,4.1888981168997906e-5,21263.60208267943
saved-2019-08-27_SR1_results,S1L1,C08,0.7300000000000001,5.882983876822219e-5,29160.01917352947
saved-2019-08-27_SR1_results,S1L1,C09,0.5650000000000001,3.695511373898386e-5,23514.388231240926
saved-2019-08-27_SR1_results,S1L1,C10,0.561,3.1757102412805634e-5,24536.612036687566
saved-2019-08-27_SR1_results,S1L1,C11,0.546,3.371437948229199e-5,24454.84750236324
saved-2019-08-27_SR1_results,S1L1,C12,0.562,3.0492445283952664e-5,25117.66152028645
saved-2019-08-27_SR1_results,S1L1,D01,0.5830000000000001,5.785866787548379e-5,14125.80584098734
saved-2019-08-27_SR1_results,S1L1,D02,0.5710000000000001,7.061361404597956e-5,14529.07805303032
saved-2019-08-27_SR1_results,S1L1,D03,0.5890000000000001,7.05972542345697e-5,14160.20434643453
saved-2019-08-27_SR1_results,S1L1,D04,0.5850000000000001,8.511553874917712e-5,14828.087469999935
saved-2019-08-27_SR1_results,S1L1,D05,0.5870000000000001,4.269037620138694e-5,30500.410208951762
saved-2019-08-27_SR1_results,S1L1,D06,0.5960000000000001,5.587155054852748e-5,33238.846408856545
saved-2019-08-27_SR1_results,S1L1,D07,0.562,4.884943394053207e-5,13624.860864743727
saved-2019-08-27_SR1_results,S1L1,D08,0.5900000000000001,4.313612544010679e-5,29740.880892295005
saved-2019-08-27_SR1_results,S1L1,D09,0.54,7.346473661686756e-5,15675.57876966266
saved-2019-08-27_SR1_results,S1L1,D10,0.525,6.718366890935287e-5,15590.427603506216
