run,plate,well,A,mu,lambda
Result_96_2020-01-13_mitacs_control,S1L1,A01,3.146841388329271,1.47056814896811e-4,15804.476606917482
Result_96_2020-01-13_mitacs_control,S1L1,A02,3.1548856019781715,1.4606111068494595e-4,15559.145816248158
Result_96_2020-01-13_mitacs_control,S1L1,A03,3.319977188517201,1.4604901486049915e-4,15254.253324021483
Result_96_2020-01-13_mitacs_control,S1L1,A04,3.6207470758611295,1.4417156730117884e-4,14941.967845847556
Result_96_2020-01-13_mitacs_control,S1L1,A05,3.5286388939915407,1.3630672454542037e-4,14771.243546768119
Result_96_2020-01-13_mitacs_control,S1L1,A06,3.4666003043977636,1.5323713624113163e-4,16005.609612354921
Result_96_2020-01-13_mitacs_control,S1L1,A07,3.2877266283189948,1.573352242279878e-4,16605.533882129366
Result_96_2020-01-13_mitacs_control,S1L1,A08,3.3167866513108075,1.6273366793978934e-4,17077.97731437725
Result_96_2020-01-13_mitacs_control,S1L1,A09,3.350497247084133,1.4982671926917017e-4,16689.915573817583
Result_96_2020-01-13_mitacs_control,S1L1,A10,3.664566970082965,1.586514465453095e-4,17174.040558242992
Result_96_2020-01-13_mitacs_control,S1L1,A11,3.1614634226941165,1.5153205411396126e-4,16180.000356951656
Result_96_2020-01-13_mitacs_control,S1L1,A12,2.7165593835043693,1.433353006056034e-4,16870.041916673228
Result_96_2020-01-13_mitacs_control,S1L1,B01,3.06177619758669,1.543801114036087e-4,19199.93303679938
Result_96_2020-01-13_mitacs_control,S1L1,B02,3.2293384869493114,1.518950105407226e-4,15387.475497129093
Result_96_2020-01-13_mitacs_control,S1L1,B03,3.1161794296707863,1.5123334755980932e-4,19184.849344404774
Result_96_2020-01-13_mitacs_control,S1L1,B04,3.2789759497028155,1.4792045443697002e-4,14917.834938315676
Result_96_2020-01-13_mitacs_control,S1L1,B05,3.0829893646710316,1.2957252361401738e-4,17846.452386734367
Result_96_2020-01-13_mitacs_control,S1L1,B06,3.299716815797204,1.670088753186377e-4,17031.654861607545
Result_96_2020-01-13_mitacs_control,S1L1,B07,3.19310324787358,1.5660551632482183e-4,19082.80983136183
Result_96_2020-01-13_mitacs_control,S1L1,B08,3.3323447108327002,1.6198186861665395e-4,16866.457231390952
Result_96_2020-01-13_mitacs_control,S1L1,B09,3.0443941193584534,1.3958215056021313e-4,20041.93405285538
Result_96_2020-01-13_mitacs_control,S1L1,B10,3.3172675471194424,1.5782567620230604e-4,16343.176295414252
Result_96_2020-01-13_mitacs_control,S1L1,B11,3.0487593119198553,1.4492252951941916e-4,18938.433202678934
Result_96_2020-01-13_mitacs_control,S1L1,B12,3.074347341460081,1.567455250860848e-4,16713.025610816145
Result_96_2020-01-13_mitacs_control,S1L1,C01,3.1744334271140593,2.1514893732772796e-4,20851.87123445823
Result_96_2020-01-13_mitacs_control,S1L1,C02,3.226679779739546,1.488265985689563e-4,14844.96835890732
Result_96_2020-01-13_mitacs_control,S1L1,C03,3.2285621885766544,1.5303523279677203e-4,15565.030431680885
Result_96_2020-01-13_mitacs_control,S1L1,C04,3.2396952797464866,1.5379740586078997e-4,15674.668058154646
Result_96_2020-01-13_mitacs_control,S1L1,C05,3.242414724768262,1.781549512677837e-4,17169.14079373071
Result_96_2020-01-13_mitacs_control,S1L1,C06,3.288569497940931,1.660137587895133e-4,16665.865642223107
Result_96_2020-01-13_mitacs_control,S1L1,C07,3.6652298405672914,2.091819122201386e-4,21309.99680359084
Result_96_2020-01-13_mitacs_control,S1L1,C08,3.2794928285669656,1.6469039603306506e-4,16791.817024763895
