"","well","sample","sample.2","auc","run","plate","A","mu","lambda"
"1","A01","H2O control ","H2O C",20285.121,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.713,3.4486392057103e-05,22753.8087956618
"2","A02","Cetylpyridinium chloride","H2O",5256.4,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.024,1.33435590551256e-06,188.574756053654
"3","A03","Tamoxifen"," H2O",7962.429,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.227,1.67785940818405e-05,39071.8569208619
"4","A04","Sodium Fluoride","H2O",18825.037,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.716,2.79087959299401e-05,11402.2811175729
"5","A05","5-Fluorocytosine","H2O",21104.6285,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.831,7.50685809373359e-05,15743.9733265608
"6","A06","Azaserine*","H2O",14126.934,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.498,4.11419215523072e-05,16777.7982424692
"7","A07","H2O control ","H2O C",21127.807,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.732,5.62446624846028e-05,14017.3882987089
"8","A08","Cetylpyridinium chloride","H2O",5230.0525,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.028,1.24217487517691e-06,0
"9","A09","Tamoxifen"," H2O",7793.4915,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.295,2.56335894879603e-05,41086.9453091298
"10","A10","Sodium Fluoride","H2O",21219.2725,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.729,7.62364075998369e-05,14976.8884027888
"11","A11","5-Fluorocytosine","H2O",20340.9045,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.749,7.23621607049417e-05,14806.4594879724
"12","A12","Azaserine*","H2O",14502.8275,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.525,4.62450002002478e-05,16720.3196196289
"13","B01","DMSO control","DMSO C",20896.3455,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.763,3.39962849627608e-05,24683.0410038211
"14","B02","Compound 48/80*","H2O",6076.7615,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.056,1.4166187113442e-06,455.562509338378
"15","B03","EDTA","DMSO",20490.03,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.702,3.84198766161965e-05,24138.9576439522
"16","B04","Tartaric acid","H2O",20837.5795,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.723,3.70217468633366e-05,23660.6884546439
"17","B05","6-Azauracil","DMSO",10605.596,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.478,2.6432090798321e-05,33613.3240530659
"18","B06","DTT","H2O",5380.6665,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.028,1.61962641906687e-06,25.7210023973224
"19","B07","DMSO control","DMSO C",13960.844,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.627,2.90517982647816e-05,28954.0210658836
"20","B08","Compound 48/80*","H2O",5360.551,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.025,1.27627633369558e-06,146.294364402417
"21","B09","EDTA","DMSO",21492.7245,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.726,5.86496421401628e-05,13813.7259555946
"22","B10","Tartaric acid","H2O",21242.996,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.724,6.82673128746087e-05,14327.815083008
"23","B11","6-Azauracil","DMSO",13492.3735,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.51,2.65186001714656e-05,33216.7098421152
"24","B12","DTT","H2O",5025.5915,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.026,1.08349568645133e-06,40.1841777371344
"25","C01","ETOH control ","ETOH C",17381.246,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.731,2.6721802578079e-05,23075.8421974642
"26","C02","Caffeine","H2O",19998.3525,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.691,3.83555145236265e-05,12258.0633457642
"27","C03","Chlorpromazine hydrochloride ","H2O",20117.626,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.705,3.18706213268191e-05,21221.0745163335
"28","C04","Sodium Orthovanadate","H2O",4691.498,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.015,1.17753071668407e-06,179.530506455067
"29","C05","Blasticidin hydrochloride","H2O",20373.758,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.703,5.42677123142887e-05,13560.4019417223
"30","C06","Diamide","H2O",5125.263,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.022,1.9311540231053e-06,324.524739038683
"31","C07","ETOH control ","ETOH C",18153.297,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.716,3.80588744543182e-05,16755.090631602
"32","C08","Caffeine","H2O",20334.383,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.684,6.91404643934336e-05,14835.7781882163
"33","C09","Chlorpromazine hydrochloride ","H2O",20244.895,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.703,6.54044467697354e-05,14045.9987442151
"34","C10","Sodium Orthovanadate","H2O",4798.0745,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.012,1.34170664548094e-06,387.361188053816
"35","C11","Blasticidin hydrochloride","H2O",20257.6935,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.698,5.08634032917521e-05,13589.0542996868
"36","C12","Diamide","H2O",5003.078,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.02,1.69559239378417e-06,348.235618143915
"37","D01","Nystatin ","DMSO",4941.165,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.00900000000000001,6.73647385170598e-07,0
"38","D02","Triclosan","DMSO",14468.0835,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.655,3.08121029232618e-05,28720.4577642446
"39","D03","Menadione ","ETOH",5008.362,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.02,1.42318134757506e-06,472.697714800877
"40","D04","Trifluoperazine","H2O",19242.645,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.691,3.32421201155514e-05,22472.2560539494
"41","D05","3-Amino-1,2,4- triazole","H2O",18751.2925,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.648,3.29797181122227e-05,24000.4186227296
"42","D06","Sodium Selenate","H2O",19144.474,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.628,5.0474251661346e-05,12988.5836507317
"43","D07","Nystatin ","DMSO",4807.7295,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.005,5.70714954062676e-07,1878
"44","D08","Triclosan","DMSO",14820.0615,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.648,3.03024351492844e-05,27973.7653750725
"45","D09","Menadione ","ETOH",5008.082,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.018,1.15137883700653e-06,140.952265824353
"46","D10","Trifluoperazine","H2O",19345.6265,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.697,3.07407177726128e-05,21085.0461683157
"47","D11","3-Amino-1,2,4- triazole","H2O",17408.0735,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.617,3.32183753797296e-05,25372.7842799402
"48","D12","Sodium Selenate","H2O",17493.875,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.614,2.19455693694614e-05,17255.6664431481
"49","E01","Myclobutanil","ETOH",15710.882,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.668,2.8867807235991e-05,26722.9685781302
"50","E02","Miltefosine","DMSO",10430.151,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.145,3.35429821016033e-05,1288.56273400145
"51","E03","Poly-L-lysine hydrochloride","H2O",19212.447,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.663,3.16163663206173e-05,22533.4513333098
"52","E04","Pentamidine Isethionate","H2O",19153.614,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.644,5.24391925488546e-05,13404.0346300295
"53","E05","Thialysine","H2O",7994.1125,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.199,9.44840958799376e-06,31539.2543012453
"54","E06","Urea hydrogen peroxide","H2O",19820.906,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.703,2.96979536469514e-05,20053.3113044115
"55","E07","Myclobutanil","ETOH",7944.521,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.159,2.35875436977333e-05,39724.8733679232
"56","E08","Miltefosine","DMSO",6446.294,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.064,1.407924934559e-05,2789.93944214227
"57","E09","Poly-L-lysine hydrochloride","H2O",19673.862,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.713,3.24343988869505e-05,21991.6948278889
"58","E10","Pentamidine Isethionate","H2O",17950.6295,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.635,2.79184997391256e-05,21362.0950950813
"59","E11","Thialysine","H2O",5786.569,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.071,3.55399798266492e-06,32623.4985083527
"60","E12","Urea hydrogen peroxide","H2O",18576.7795,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.665,2.7845779744303e-05,19915.595122608
"61","F01","Fluconazole","DMSO",13650.19,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.595,2.85364454450821e-05,29186.6691069749
"62","F02","Cinnamic acid","DMSO",6390.1205,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.173,1.32668038871368e-05,39560.9338716586
"63","F03","CCCP","DMSO ",5057.317,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.013,5.31450920341912e-07,0
"64","F04","methylmethane sulfonate","H2O",20482.492,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.702,5.02697738569051e-05,12992.3587583174
"65","F05","Hygromycin B","H2O",19798.6975,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.7,3.23427012843538e-05,22221.8875908174
"66","F06","Thiourea","H2O",20224.071,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.699,3.09811618335046e-05,11737.7821193259
"67","F07","Fluconazole","DMSO",13873.2535,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.61,3.05073442855577e-05,29459.1711874688
"68","F08","Cinnamic acid","DMSO",6126.703,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.155,1.46560227873538e-05,42025.1430810448
"69","F09","CCCP","DMSO ",5154.4825,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.013,1.0721436018539e-06,0
"70","F10","methylmethane sulfonate","H2O",18882.002,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.668,3.14005580221963e-05,21974.7793627987
"71","F11","Hygromycin B","H2O",18918.836,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.67,3.18822047247369e-05,22827.1538341608
"72","F12","Thiourea","H2O",18612.8045,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.662,3.08547900440391e-05,21804.1742129842
