"","solvent","sample","plate","well","control","control2","auc","run","A","mu","lambda","rel_fitness","rel_max_GR","DT","rel_fit_off_plate","strain","rel_fit_to_by"
"1","DMSO-2","5-Fluorouracil","S1L1","H10",2,"case",47284.0175,"SAM-MIATCS3ISH",0.43,4.58796057386156e-05,83066.6566241954,0.654423910363278,1.82575023210278,4.19665514533437,0.6782364066967,"S6.14",7.05051808256517
"2","DMSO-2","5-Fluorouracil","S1L2","H10",2,"case",101120.208,"SAM-MIATCS3ISH",0.843,3.97942109042639e-05,4178.02961959961,0.743530271452513,0.994497092515835,4.83841441037956,1.34880104745284,"S6.45",15.0780304363256
"3","DMSO-2","5-Fluorouracil","S2L2","H10",2,"case",56469.056,"SAM-MIATCS3ISH",0.554,1.51670426329573e-05,400.418937745451,0.720997187827753,0.839802152438407,12.6946886184978,1.43539425705603,"u5.05",8.42009883008323
"4","DMSO-2","5-Fluorouracil","S3L1","H10",2,"case",97394.596,"SAM-MIATCS3ISH",0.76,0.000126249335861676,1844.22076429002,0.703277761655488,1.25570544446487,1.52508432757088,1.88824563910289,"wlp.644",14.5225045702204
"5","DMSO-2","5-Fluorouracil","S2L1","H10",2,"case",103339.9575,"SAM-MIATCS3ISH",0.831,3.50928892761284e-05,51729.1577744927,0.901873173635709,0.372066928816299,5.48660675881845,1.33213153766638,"s6.113",15.4090172013253
"6","DMSO-2","5-Fluorouracil","S3L2","H10",2,"case",103317.2505,"SAM-MIATCS3ISH",0.86,2.18607029859199e-05,2453.0699297079,37.6399332357943,21.1498715834723,8.80762542782299,1.30269157590536,"W.34.70",15.4056313614038
"7","DMSO-2","6-Azauracil","S2L1","B11",2,"case",123561.9785,"SAM-MIATCS3ISH",0.942,2.62417572921566e-05,22430.0643627313,1.07835571434701,0.278224171444244,7.33719473681827,1.5928089424297,"s6.113",1.61383441053249
"8","DMSO-2","6-Azauracil","S1L1","B11",2,"case",64595.712,"SAM-MIATCS3ISH",0.513,2.47450526441498e-05,31560.2312324428,0.894022561423427,0.984713902421936,7.78098500163805,0.92655332417333,"S6.14",0.843680103410178
"9","DMSO-2","6-Azauracil","S2L2","B11",2,"case",95069.1315,"SAM-MIATCS3ISH",0.824,2.13864530788742e-05,1788.4171234373,1.21384314376934,1.18417213977064,9.00293670852171,2.4165745816329,"u5.05",1.24169131683285
"10","DMSO-2","6-Azauracil","S3L2","B11",2,"case",115238.9835,"SAM-MIATCS3ISH",0.872,1.91600374240679e-05,15262.5889419853,41.9831889070722,18.537021948222,10.0490870256346,1.45300859532017,"W.34.70",1.50512835149435
"11","DMSO-2","6-Azauracil","S3L1","B11",2,"case",127468.64,"SAM-MIATCS3ISH",0.922,0.000123186432227857,884.926740611461,0.920439772864495,1.22524108801811,1.56300397703485,2.47130860938502,"wlp.644",1.66485904477305
"12","DMSO-2","6-Azauracil","S1L2","B11",2,"case",123984.0625,"SAM-MIATCS3ISH",0.914,9.93902699431269e-05,5141.06177674435,0.911646697229997,2.48386215574419,1.93722065146869,1.65377264025661,"S6.45",1.61934722031106
"13","DMSO-2","CCCP","S3L2","F09",2,"case",4750.1945,"SAM-MIATCS3ISH",0.05,8.44245887477423e-07,108192.927476128,1.73056293089253,0.81679404896186,228.062566066125,0.0598935640380983,"W.34.70",0.0695051571519685
"14","DMSO-2","CCCP","S1L2","F09",2,"case",92840.818,"SAM-MIATCS3ISH",0.812,7.52328720713146e-05,8181.24161603078,0.682652458640249,1.88014464507252,2.55926536084334,1.23836565451663,"S6.45",1.35845293181307
"15","DMSO-2","CCCP","S1L1","F09",2,"case",1292.301,"SAM-MIATCS3ISH",0.035,1.94407043356071e-06,154365.537061728,0.0178858040940869,0.077363067710719,99.0400759998295,0.0185366141235895,"S6.14",0.0189090329022624
"16","DMSO-2","CCCP","S2L1","F09",2,"case",50491.0365,"SAM-MIATCS3ISH",0.637,8.52102576841853e-05,3223.03130776985,0.440647668433688,0.903428572972091,2.25959747947821,0.650868296429424,"s6.113",0.738788154189956
"17","DMSO-2","CCCP","S2L2","F09",2,"case",44614.737,"SAM-MIATCS3ISH",0.338,1.10219172332207e-05,4842.1390055422,0.569641183884405,0.610285738654376,17.4689103007001,1.1340677851931,"u5.05",0.652805754896719
"18","DMSO-2","CCCP","S3L1","F09",2,"case",132604.703,"SAM-MIATCS3ISH",1.118,4.36712579471517e-05,24021.2645818283,0.957526829423172,0.434364553259524,4.40886964423775,2.57088444788337,"wlp.644",1.94028070242284
"19","DMSO-2","Cinnamic acid","S1L1","F08",2,"case",38855.018,"SAM-MIATCS3ISH",0.35,1.84283761288829e-05,46494.4546264342,0.537764220580359,0.733345708903219,10.4480656430223,0.55733182550437,"S6.14",0.52043150804071
"20","DMSO-2","Cinnamic acid","S3L1","F08",2,"case",126557.536,"SAM-MIATCS3ISH",1.08,3.55135140006679e-05,22617.2497848016,0.913860771481755,0.353225722562041,5.42162297668579,2.45364450659672,"wlp.644",1.69513573032951
"21","DMSO-2","Cinnamic acid","S2L1","F08",2,"case",69931.562,"SAM-MIATCS3ISH",0.536,7.7662043680184e-05,1839.74079899109,0.610309906100381,0.823399801889187,2.47921474075246,0.90147162309866,"s6.113",0.936676654513515
"22","DMSO-2","Cinnamic acid","S2L2","F08",2,"case",52211.289,"SAM-MIATCS3ISH",0.518,2.14840709111594e-05,2687.24044550849,0.666633997597942,1.18957725846474,8.96202978872419,1.32716552555957,"u5.05",0.699327944488903
"23","DMSO-2","Cinnamic acid","S3L2","F08",2,"case",64273.4845,"SAM-MIATCS3ISH",0.539,1.85622237378125e-05,35423.2048628282,23.4157379692548,17.9586470120049,10.3727272232289,0.810402197184235,"W.34.70",0.860891287332982
