"","well","sample","sample.2","auc","run","plate","A","mu","lambda"
"1","A01","H2O control ","H2O C",26190.8555,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.98,3.72779247972212e-05,15734.0931104471
"2","A02","Cetylpyridinium chloride","H2O",11913.7465,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.605,4.56661285002324e-05,38392.6686903528
"3","A03","Tamoxifen"," H2O",11644.002,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.318,2.66702437243171e-05,39634.4786914212
"4","A04","Sodium Fluoride","H2O",24876.5985,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.909,2.48447216422523e-05,10211.5005306877
"5","A05","5-Fluorocytosine","H2O",28482.825,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.975,3.17601177285956e-05,9651.50664472309
"6","A06","Azaserine*","H2O",21483.7495,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.948,3.81241622497042e-05,22756.7814770181
"7","A07","H2O control ","H2O C",25479.4655,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.985,3.98823405647047e-05,17777.6777908363
"8","A08","Cetylpyridinium chloride","H2O",21042.1715,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.952,4.75763051222875e-05,27828.1329677771
"9","A09","Tamoxifen"," H2O",10451.897,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.22,6.1355539459269e-06,5049.68337760937
"10","A10","Sodium Fluoride","H2O",26066.9925,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.944,2.82805864360817e-05,10549.2571671133
"11","A11","5-Fluorocytosine","H2O",27857.6445,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.973,3.47692631506998e-05,15021.6788074826
"12","A12","Azaserine*","H2O",16481.7645,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.593,2.94522260949749e-05,23652.0658080087
"13","B01","DMSO control","DMSO C",21751.653,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.721,4.24425568950808e-05,26057.419498523
"14","B02","Compound 48/80*","H2O",12905.488,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.623,3.28018885587021e-05,31985.8591881571
"15","B03","EDTA","DMSO",24619.4355,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.934,3.43331676605403e-05,15139.6423141684
"16","B04","Tartaric acid","H2O",26153.218,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.975,3.55449581715828e-05,14376.4213391103
"17","B05","6-Azauracil","DMSO",21600.122,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.764,7.68851517661498e-05,3928.15996078874
"18","B06","DTT","H2O",5371.932,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.038,4.25441185565167e-06,40746.0955936319
"19","B07","DMSO control","DMSO C",24594.568,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.899,3.28807550263491e-05,18067.8918760174
"20","B08","Compound 48/80*","H2O",8341.8275,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.259,1.56554574751897e-05,34816.8787556657
"21","B09","EDTA","DMSO",25577.0365,"SR1_results_DRUGPLATES_2019-07-02","S3L1",1.007,3.76679942757698e-05,16452.5191444562
"22","B10","Tartaric acid","H2O",26167.316,"SR1_results_DRUGPLATES_2019-07-02","S3L1",1.018,3.12716451995919e-05,10760.535720279
"23","B11","6-Azauracil","DMSO",19736.946,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.847,3.40202901822353e-05,26744.0930229312
"24","B12","DTT","H2O",5724.7715,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.052,1.66351765433589e-06,0
"25","C01","ETOH control ","ETOH C",21034.5565,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.94,5.48663549205833e-05,28641.8306695581
"26","C02","Caffeine","H2O",21154.9855,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.853,3.01741816417068e-05,18293.9822665672
"27","C03","Chlorpromazine hydrochloride ","H2O",25166.932,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.952,3.71973335225911e-05,16624.6889802516
"28","C04","Sodium Orthovanadate","H2O",6134.0935,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.061,2.39775757243856e-06,2295.54927122016
"29","C05","Blasticidin hydrochloride","H2O",20315.422,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.867,4.16524498138797e-05,25034.92175693
"30","C06","Diamide","H2O",14871.094,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.704,2.96546099723068e-05,27385.6505111861
"31","C07","ETOH control ","ETOH C",16866.5395,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.759,0.000113691757215823,36439.7780950851
