"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda"
"1","2-Deoxy-D-glucose",5219.712,0.047,4.86257018775088e-06,41356.2498533113
"2","3-Amino-1,2,4- triazole",4951.03825,0.07,1.09809159771803e-05,44920.9378929933
"3","4-Aminopyridine",4842.0215,0.0165,9.42944399007173e-07,57.1800291303193
"4","5-Fluorocytosine",6309.0365,0.1205,1.1568360950648e-05,41358.6182215998
"5","5-Fluorouracil",10669.98975,0.1625,1.34557720631709e-05,777.279706976129
"6","6-Azauracil",15243.8925,0.3175,2.13545893976316e-05,6389.24035666854
"7","Azaserine*",5146.72275,0.037,1.5966776515727e-06,27579.1584788896
"8","Benzamidine",5210.37925,0.0755,9.40343595190322e-06,43563.3392045024
"9","Blasticidin hydrochloride",5367.143,0.082,9.44365049484433e-06,42900.3178497139
"10","Caffeine",5333.2155,0.0705,7.63375468903116e-06,42371.0848037056
"11","CCCP",9855.55275,0.1515,1.17228372133979e-05,1072.2537411159
"12","Cetylpyridinium chloride",5092.10825,0.0265,1.25558956300799e-06,19209.4356533956
"13","Chlorpromazine hydrochloride ",5268.812,0.079,1.03167357329608e-05,43971.4352912798
"14","Cinnamic acid",9538.3,0.143,9.81335812212234e-06,982.117223668765
"15","Compound 48/80*",5052.97275,0.018,9.09885929465363e-07,0
"16","Copper(II) sulfate",5824.17325,0.014,7.47079167607278e-07,0
"17","Cycloheximide",9167.19025,0.1315,9.48520455620611e-06,1090.61158379514
"18","Dequalinium Chloride",5166.35225,0.0395,2.84322714586156e-06,27763.3668307685
"19","Diamide",4966.9685,0.019,1.28096586761721e-06,0
"20","DMSO control",13185.48825,0.2715,1.5482399751113e-05,2397.53069392227
"21","DTT",4832.229,0.016,9.0553022149988e-07,0
"22","EDTA",5442.46375,0.055,3.5999769416709e-06,34210.9281503669
"23","ETOH control ",4979.016,0.029,1.33418153828235e-06,28817.3364465417
"24","Fluconazole",9925.123,0.1515,1.06875162099186e-05,18219.3419183353
"25","Guanidine hydrochloride",5655.555,0.0835,8.3789630602763e-06,41229.7827693326
"26","H2O control ",5432.22675,0.0945,1.00229190889339e-05,42156.0255324799
"27","Hydroxyurea",5207.28825,0.038,2.00605883198688e-06,32579.6727837778
"28","Hygromycin B",5196.9815,0.0665,7.8193060962098e-06,43127.774386489
"29","Menadione ",4812.97475,0.013,7.70295468358349e-07,467.5
"30","methylmethane sulfonate",5253.94375,0.0905,1.50631072737031e-05,45212.1084551353
"31","Miconazole Nitrate",10084.51875,0.174,1.17512788037217e-05,21725.4670154219
"32","Miltefosine",4744.04925,0.0155,1.05887605394262e-06,35964.7050571292
"33","Myclobutanil",4806.5345,0.014,9.05570052598765e-07,467.5
"34","Nystatin ",5168.14025,0.0175,1.37628471944898e-06,1237.63400556466
"35","Pentamidine Isethionate",5252.322,0.07,1.07590365702932e-05,45118.5285073288
"36","Poly-L-lysine hydrochloride",5258.6915,0.071,8.77423701623948e-06,43298.9725086483
"37","Propiconazole",4904.33025,0.0155,5.3022789968184e-07,0
"38","Sodium Fluoride",7328.9045,0.161,1.3937790132912e-05,38915.7715835467
"39","Sodium metasilicate",7467.79425,0.0975,8.17685862499723e-06,4027.50967750489
"40","Sodium Orthovanadate",4943.34975,0.021,1.31169811338642e-06,0
"41","Sodium Selenate",5308.3765,0.086,1.19100918671285e-05,44323.2801992446
"42","Tamoxifen",6872.636,0.0805,5.07545234268134e-06,29944.2195763271
"43","Tartaric acid",5669.92475,0.0945,9.61861644745957e-06,41752.587996266
"44","Thialysine",4989.04775,0.02,1.20457939446674e-06,0
"45","Thiourea",5223.52425,0.086,1.13554950706004e-05,43916.9173935912
"46","Triclosan",11151.7205,0.1865,5.5643471392125e-05,20674.2638007527
"47","Trifluoperazine",5235.32325,0.0675,7.42826045284002e-06,42432.0232368833
"48","Urea hydrogen peroxide",5290.8315,0.082,1.50217179263458e-05,45380.4202840684
